sample,sex,age,cg24488810,cg14143632,cg03481131,cg00305629,cg14144550,cg14143589,cg04759982,cg06203259,cg13657200,cg10172884,cg19478228,cg20014432,cg14144583,cg00944626,cg21159778,cg12877860
GSM2333976,1,25,,,,0.78268941,,,0.37542154,,0.58124237,,,,,,0.02931792,0.71414763
GSM2333977,1,45,,,,0.75218161,,,0.42665154,,0.61240389,,,,,,0.07716563,0.74263202
GSM2333978,0,40,,,,0.85160107,,,0.39780078,,0.62985980,,,,,,0.06334130,0.70354081
GSM2333979,1,81,,,,0.77720207,,,0.35920425,,0.54514109,,,,,,0.17191988,0.72746503
GSM2333980,1,32,,,,0.87870291,,,0.34554631,,0.61350561,,,,,,0.05838064,0.74551964
GSM2333981,1,28,,,,0.81708865,,,0.37694339,,0.61449538,,,,,,0.01629022,0.68880531
GSM2333982,1,19,,,,0.82368334,,,0.40061866,,0.64196958,,,,,,0.03022896,0.68216468
GSM2333983,1,16,,,,0.88676291,,,0.38658361,,0.64309109,,,,,,0.02997080,0.70799952
GSM2333984,1,18,,,,0.82132916,,,0.36721561,,0.62498676,,,,,,0.01548823,0.68550501
GSM2333985,0,19,,,,0.87479217,,,0.38492935,,0.66034520,,,,,,0.05087117,0.72940927
GSM2333986,1,18,,,,0.83807491,,,0.36401074,,0.63930426,,,,,,0.02788324,0.67781648
GSM2333987,0,18,,,,0.81777592,,,0.37177251,,0.63473715,,,,,,0.04480217,0.69282686
GSM2333988,1,18,,,,0.78734271,,,0.35994188,,0.59285074,,,,,,0.02356708,0.70801893
GSM2333989,0,18,,,,0.84686505,,,0.40091911,,0.65339368,,,,,,0.02300068,0.68359447
GSM2333990,1,17,,,,0.79864948,,,0.36895649,,0.62661140,,,,,,0.01858915,0.68943006
GSM2333991,1,82,,,,0.67481145,,,0.37672866,,0.48419581,,,,,,0.21864504,0.71993367
GSM2333992,1,35,,,,0.79925341,,,0.39053425,,0.60342146,,,,,,0.07841178,0.72854169
GSM2333993,1,39,,,,0.88097477,,,0.39163756,,0.61736577,,,,,,0.08508461,0.71995388
GSM2333994,1,49,,,,0.86155610,,,0.41438667,,0.66289366,,,,,,0.14089637,0.77670319
GSM2333995,0,45,,,,0.79904382,,,0.40892482,,0.59194578,,,,,,0.04197054,0.69270252
GSM2333996,1,42,,,,0.78810305,,,0.41551537,,0.62060275,,,,,,0.06156101,0.72808898
GSM2333997,0,18,,,,0.79670984,,,0.36646425,,0.62901184,,,,,,0.04103209,0.69064000
GSM2333998,1,32,,,,0.86360762,,,0.37872145,,0.62065479,,,,,,0.11653196,0.75250458
GSM2333999,0,18,,,,0.82927231,,,0.39563705,,0.64581421,,,,,,0.07124409,0.71343321
GSM2334000,1,40,,,,0.82689471,,,0.37547497,,0.60166675,,,,,,0.02357726,0.65572589
GSM2334001,1,43,,,,0.78099024,,,0.39255409,,0.58655377,,,,,,0.06830028,0.72525046
GSM2334002,1,44,,,,0.76578242,,,0.39708014,,0.56582989,,,,,,0.09322493,0.72749904
GSM2334003,0,46,,,,0.77350370,,,0.42689887,,0.58406172,,,,,,0.12433922,0.74713248
GSM2334004,1,79,,,,0.85019442,,,0.39551305,,0.61811502,,,,,,0.49781860,0.80068584
GSM2334005,0,71,,,,0.76690757,,,0.40649455,,0.54724358,,,,,,0.19111358,0.75347196
GSM2334007,1,68,,,,0.74094438,,,0.38335905,,0.55392635,,,,,,0.16152030,0.72806538
GSM2334008,0,41,,,,0.73992791,,,0.41532504,,0.54330890,,,,,,0.04191996,0.69418713
GSM2334009,1,62,,,,0.88064310,,,0.33430951,,0.62378199,,,,,,0.04928797,0.74917686
GSM2334010,1,47,,,,0.80213014,,,0.38429893,,0.60308867,,,,,,0.14834573,0.75862741
GSM2334012,0,51,,,,0.67546856,,,0.44697967,,0.52805296,,,,,,0.16364033,0.79908890
GSM2334013,0,53,,,,0.80607421,,,0.38354814,,0.59053600,,,,,,0.17268958,0.71710088
GSM2334014,0,79,,,,0.81976866,,,0.39006208,,0.58950190,,,,,,0.38515153,0.76285057
GSM2334016,1,68,,,,0.84522820,,,0.39740935,,0.59848856,,,,,,0.19170122,0.78094314
GSM2334017,0,50,,,,0.82420083,,,0.38510177,,0.61045748,,,,,,0.11548206,0.70255763
GSM2334021,1,55,,,,0.72675249,,,0.39318769,,0.56746039,,,,,,0.09889296,0.74446488
GSM2334022,1,22,,,,0.84243023,,,0.38209490,,0.67343876,,,,,,0.02045112,0.69687112
GSM2334023,0,27,,,,0.82319033,,,0.40500901,,0.62462598,,,,,,0.02988509,0.68134718
GSM2334024,1,15,,,,0.87263930,,,0.36193180,,0.66343580,,,,,,0.02243262,0.77143361
GSM2334025,1,26,,,,0.80479594,,,0.38752128,,0.63799941,,,,,,0.09386040,0.74365528
GSM2334026,0,47,,,,0.72103383,,,0.42288848,,0.51992061,,,,,,0.13099070,0.77922737
GSM2334027,1,43,,,,0.82039900,,,0.39598740,,0.58978567,,,,,,0.10806984,0.75120961
GSM2334028,1,49,,,,0.85797193,,,0.31802033,,0.57867360,,,,,,0.03651129,0.68894742
GSM2334029,1,61,,,,0.74687900,,,0.31836353,,0.57830787,,,,,,0.15580064,0.74375274
GSM2334030,0,80,,,,0.79704102,,,0.38088277,,0.54816471,,,,,,0.16088493,0.70216649
GSM2334032,1,74,,,,0.68691084,,,0.39072653,,0.50744406,,,,,,0.24417277,0.71389190
GSM2334033,1,64,,,,0.83903070,,,0.36538793,,0.64645820,,,,,,0.11159841,0.74764754
GSM2334034,1,31,,,,0.75696487,,,0.39245756,,0.64229106,,,,,,0.05279201,0.71060832
GSM2334035,0,17,,,,0.86150740,,,0.39751355,,0.62997395,,,,,,0.02404659,0.69785402
GSM2334036,0,33,,,,0.71837524,,,0.39055662,,0.49968255,,,,,,0.03387923,0.70079168
GSM2334037,0,76,,,,0.83147292,,,0.42678607,,0.56925973,,,,,,0.30396192,0.74698985
GSM2334038,0,48,,,,0.67681309,,,0.40114613,,0.54227020,,,,,,0.08352335,0.67396354
GSM2334039,0,20,,,,0.77112618,,,0.39860185,,0.61536737,,,,,,0.03536025,0.71770045
GSM2334040,0,67,,,,0.80835445,,,0.43119475,,0.57990352,,,,,,0.26308486,0.77618402
GSM2334041,1,55,,,,0.78899177,,,0.39540043,,0.60601067,,,,,,0.14748833,0.75602408
GSM2334042,0,43,,,,0.83896118,,,0.43779285,,0.63943932,,,,,,0.04651755,0.75204045
GSM2334043,1,56,,,,0.73406235,,,0.44423132,,0.59849862,,,,,,0.22619223,0.76785903
GSM2334044,0,63,,,,0.68320307,,,0.33503317,,0.46932539,,,,,,0.05851581,0.59031002
GSM2334045,1,20,,,,0.83504919,,,0.43982066,,0.64101410,,,,,,0.03953617,0.74004011
GSM2334046,1,75,,,,0.72448697,,,0.35094510,,0.54065175,,,,,,0.17690634,0.71974791
GSM2334047,0,65,,,,0.67975502,,,0.45955024,,0.53737159,,,,,,0.25174555,0.77832993
GSM2334048,0,77,,,,0.72647254,,,0.41745579,,0.55140127,,,,,,0.16386006,0.75397553
GSM2334049,0,26,,,,0.77104399,,,0.43015095,,0.61451233,,,,,,0.04363485,0.71719630
GSM2334050,0,69,,,,0.84935895,,,0.38942285,,0.57518984,,,,,,0.15591410,0.74688834
GSM2334051,0,64,,,,0.68350878,,,0.43282079,,0.50226123,,,,,,0.19976590,0.77900312
GSM2334052,1,43,,,,0.84914614,,,0.34998333,,0.58905487,,,,,,0.07383509,0.71459613
GSM2334053,1,39,,,,0.76890796,,,0.35096027,,0.60681543,,,,,,0.03464674,0.74203252
GSM2334054,0,74,,,,0.83921305,,,0.37017488,,0.59091574,,,,,,0.08682096,0.71538570
GSM2334055,0,44,,,,0.91106029,,,0.37672612,,0.68931239,,,,,,0.05772508,0.74252202
GSM2334056,0,47,,,,0.67789997,,,0.39619835,,0.56335576,,,,,,0.07466002,0.70218899
GSM2334057,1,17,,,,0.83698680,,,0.40310902,,0.67950256,,,,,,0.01597934,0.69987714
GSM2334058,0,19,,,,0.75480782,,,0.39086440,,0.59322841,,,,,,0.02079612,0.66868419
GSM2334059,1,15,,,,0.84929715,,,0.31723256,,0.63124940,,,,,,0.01246488,0.66068054
GSM2334060,0,26,,,,0.83301667,,,0.38340928,,0.62905201,,,,,,0.02013979,0.69580850
GSM2334061,1,18,,,,0.85324233,,,0.38266374,,0.65420224,,,,,,0.01750243,0.72364625
GSM2334062,0,17,,,,0.86909469,,,0.35738268,,0.64277070,,,,,,0.06428081,0.69725374
GSM2334063,0,80,,,,0.75841052,,,0.38247066,,0.58461421,,,,,,0.31763623,0.76062244
GSM2334064,0,79,,,,0.65852624,,,0.40483056,,0.53142272,,,,,,0.36004638,0.75595968
GSM2334065,1,71,,,,0.75123579,,,0.36632250,,0.51139579,,,,,,0.15635887,0.71081651
GSM2334066,1,42,,,,0.82327539,,,0.39595250,,0.62412151,,,,,,0.14952211,0.76011575
GSM2334067,1,14,,,,0.85953963,,,0.37873101,,0.68651525,,,,,,0.02922215,0.76332472
GSM2334068,0,53,,,,0.73360008,,,0.44006777,,0.53770001,,,,,,0.18460262,0.71172583
GSM2334069,1,76,,,,0.80030980,,,0.37673902,,0.58340026,,,,,,0.17137352,0.76840061
GSM2334070,0,46,,,,0.76757148,,,0.43275722,,0.58212528,,,,,,0.03807629,0.72276884
GSM2334071,0,27,,,,0.83355861,,,0.39203934,,0.64945555,,,,,,0.02692416,0.70796650
GSM2334072,1,22,,,,0.81655184,,,0.37157941,,0.63240080,,,,,,0.02527585,0.71644993
GSM2334073,1,44,,,,0.73544449,,,0.37647136,,0.53472057,,,,,,0.06240864,0.68897589
GSM2334074,1,40,,,,0.78047412,,,0.38281055,,0.56708650,,,,,,0.03103716,0.65295211
GSM2334075,1,50,,,,0.82281325,,,0.37552944,,0.57500595,,,,,,0.11866654,0.72570677
GSM2334076,1,67,,,,0.79857740,,,0.36636269,,0.55933675,,,,,,0.13816604,0.71502298
GSM2334077,0,49,,,,0.74492221,,,0.40649867,,0.54086993,,,,,,0.05171106,0.69500393
GSM2334078,1,67,,,,0.78253671,,,0.38292754,,0.54183932,,,,,,0.08959665,0.70148033
GSM2334079,0,48,,,,0.71553577,,,0.41951901,,0.55763052,,,,,,0.09825481,0.77474060
GSM2334080,1,39,,,,0.77311904,,,0.39728905,,0.59817514,,,,,,0.09219473,0.76363535
GSM2334081,0,37,,,,0.77072027,,,0.43504731,,0.60759255,,,,,,0.03608829,0.72235267
GSM2334082,0,30,,,,0.79429530,,,0.39435211,,0.62456185,,,,,,0.05141314,0.71871082
GSM2334083,0,39,,,,0.73495436,,,0.39214977,,0.57026094,,,,,,0.03240568,0.71875836
GSM2334084,1,72,,,,0.71367290,,,0.36500777,,0.49671570,,,,,,0.13638904,0.71544933
GSM2334085,1,86,,,,0.72398177,,,0.37248683,,0.54238859,,,,,,0.24538321,0.71345883
GSM2334086,1,59,,,,0.64275018,,,0.41495097,,0.52569547,,,,,,0.14037933,0.73440839
GSM2334087,0,76,,,,0.71981857,,,0.41902606,,0.56014483,,,,,,0.08400206,0.74675629
GSM2334088,1,73,,,,0.72434509,,,0.36997324,,0.55032656,,,,,,0.18996242,0.75466916
GSM2334089,1,65,,,,0.75595391,,,0.41134891,,0.55611891,,,,,,0.25332331,0.74064480
GSM2334090,1,83,,,,0.68736384,,,0.38796890,,0.55460198,,,,,,0.18802934,0.70892258
GSM2334091,0,72,,,,0.67630829,,,0.38008673,,0.51699561,,,,,,0.14804985,0.68522725
GSM2334092,1,66,,,,0.84364883,,,0.35592538,,0.59303238,,,,,,0.14442471,0.75420796
GSM2334093,0,83,,,,0.74990776,,,0.38584538,,0.54480411,,,,,,0.23503732,0.71215637
GSM2334094,1,22,,,,0.76539159,,,0.38718568,,0.60634998,,,,,,0.02575814,0.69409249
GSM2334095,0,84,,,,0.76433373,,,0.40961175,,0.54128281,,,,,,0.15949858,0.71511813
GSM2334096,1,56,,,,0.83156985,,,0.37555653,,0.63530617,,,,,,0.12872583,0.72093101
GSM2334097,0,69,,,,0.76607876,,,0.36119370,,0.60235893,,,,,,0.10621433,0.71445792
GSM2334098,1,31,,,,0.76303090,,,0.41044595,,0.58621235,,,,,,0.12797605,0.74344867
GSM2334099,1,43,,,,0.84906580,,,0.37959750,,0.63079879,,,,,,0.10618090,0.76979049
GSM2334100,0,60,,,,0.78808310,,,0.37630922,,0.53724268,,,,,,0.16784899,0.71106190
GSM2334101,0,81,,,,0.73460862,,,0.45985724,,0.55454682,,,,,,0.33995572,0.76194229
GSM2334102,1,29,,,,0.73682936,,,0.39905385,,0.60244770,,,,,,0.08085718,0.69954685
GSM2334103,1,32,,,,0.88503725,,,0.39227773,,0.64598564,,,,,,0.06320343,0.75062657
GSM2334104,1,29,,,,0.82671052,,,0.39404768,,0.62480631,,,,,,0.03705641,0.76153448
GSM2334105,0,27,,,,0.77262882,,,0.40680659,,0.62927894,,,,,,0.04123083,0.66212945
GSM2334106,0,35,,,,0.81259562,,,0.39991077,,0.63475623,,,,,,0.06726004,0.74844154
GSM2334107,1,17,,,,0.82880180,,,0.37048998,,0.64155226,,,,,,0.01612835,0.66284888
GSM2334108,0,53,,,,0.79599426,,,0.36359011,,0.57663141,,,,,,0.15649803,0.73921266
GSM2334109,0,16,,,,0.84707294,,,0.38061391,,0.64239202,,,,,,0.01883008,0.69832396
GSM2334110,1,34,,,,0.82550229,,,0.43528101,,0.60256112,,,,,,0.13050940,0.72848424
GSM2334111,1,65,,,,0.73669157,,,0.41223159,,0.55769341,,,,,,0.19556781,0.72465683
GSM2334112,0,36,,,,0.83342809,,,0.40338465,,0.62715003,,,,,,0.03311537,0.73960221
GSM2334113,1,34,,,,0.84488599,,,0.36465090,,0.61696255,,,,,,0.04730738,0.71060187
GSM2334114,0,77,,,,0.76516509,,,0.33625562,,0.53240156,,,,,,0.14137515,0.74598898
GSM2334115,0,58,,,,0.76420045,,,0.39343070,,0.57078622,,,,,,0.12111197,0.72819164
GSM2334116,1,41,,,,0.82913911,,,0.42651381,,0.62639855,,,,,,0.07272105,0.78303266
GSM2334117,1,25,,,,0.80685483,,,0.38659908,,0.62116576,,,,,,0.02697465,0.67871765
GSM2334118,1,40,,,,0.82325224,,,0.34970156,,0.61711193,,,,,,0.07122893,0.76125994
GSM2334119,0,50,,,,0.80734306,,,0.39119972,,0.60313928,,,,,,0.15986202,0.76258827
GSM2334120,0,18,,,,0.85249504,,,0.36073886,,0.64268726,,,,,,0.02356136,0.72960376
GSM2334121,1,32,,,,0.89652732,,,0.39654712,,0.64162386,,,,,,0.02850238,0.73992712
GSM2334122,1,69,,,,0.79564697,,,0.36809224,,0.60345982,,,,,,0.14337693,0.73743518
GSM2334123,1,68,,,,0.83141029,,,0.39957660,,0.57300303,,,,,,0.10932255,0.73171308
GSM2334124,1,48,,,,0.77989803,,,0.38059770,,0.61558715,,,,,,0.16793213,0.76585710
GSM2334125,1,80,,,,0.83183386,,,0.37382940,,0.60719758,,,,,,0.27238104,0.78645822
GSM2334126,0,35,,,,0.83510418,,,0.33868356,,0.60495182,,,,,,0.02625516,0.71593576
GSM2334127,1,57,,,,0.88276459,,,0.39281970,,0.63326675,,,,,,0.17111823,0.76702135
GSM2334128,0,59,,,,0.77998120,,,0.36999120,,0.53854260,,,,,,0.17572550,0.70169990
GSM2334129,1,70,,,,0.81538569,,,0.41418610,,0.61822731,,,,,,0.19423620,0.79249366
GSM2334130,1,49,,,,0.87595942,,,0.42186187,,0.64309505,,,,,,0.18362342,0.76135037
GSM2334131,1,22,,,,0.85162311,,,0.42828057,,0.65407210,,,,,,0.09648186,0.74067583
GSM2334132,1,72,,,,0.76183152,,,0.42207266,,0.56068550,,,,,,0.31117036,0.78008939
GSM2334133,0,47,,,,0.85172408,,,0.37172549,,0.62673458,,,,,,0.10393849,0.74933908
GSM2334134,1,32,,,,0.89534481,,,0.38796797,,0.72184399,,,,,,0.03587708,0.76619984
GSM2334135,0,15,,,,0.84528005,,,0.37302963,,0.63639928,,,,,,0.01415501,0.70442203
GSM2334136,1,31,,,,0.79584275,,,0.39352373,,0.58856868,,,,,,0.03137894,0.70874783
GSM2334137,0,27,,,,0.71452155,,,0.40756474,,0.51638668,,,,,,0.02773578,0.69979697
GSM2334138,0,19,,,,0.84510934,,,0.36940315,,0.64231086,,,,,,0.07356422,0.71412517
GSM2334139,0,76,,,,0.69787688,,,0.43525127,,0.51113063,,,,,,0.20922193,0.73250348
GSM2334140,0,59,,,,0.71419923,,,0.40795583,,0.54893868,,,,,,0.14634830,0.70826513
GSM2334141,1,48,,,,0.79786841,,,0.43464697,,0.57896843,,,,,,0.19331230,0.76207356
GSM2334142,1,71,,,,0.73701356,,,0.41384191,,0.56689078,,,,,,0.19011354,0.75977865
GSM2334143,0,18,,,,0.79711218,,,0.39521033,,0.63069453,,,,,,0.03068427,0.69453890
GSM2334144,0,48,,,,0.73377089,,,0.42246848,,0.55653748,,,,,,0.09785172,0.76113774
GSM2334145,0,17,,,,0.88933935,,,0.39986104,,0.68077315,,,,,,0.02729699,0.70755952
GSM2334146,1,53,,,,0.83265655,,,0.37265270,,0.65531601,,,,,,0.23117488,0.75621066
GSM2334147,1,17,,,,0.80049337,,,0.39391125,,0.63688521,,,,,,0.01847991,0.65873744
GSM2334148,1,17,,,,0.79038442,,,0.36271735,,0.60579448,,,,,,0.02264804,0.61505175
GSM2334149,1,15,,,,0.92364007,,,0.37680982,,0.68761964,,,,,,0.02125429,0.71245441
GSM2334150,1,17,,,,0.84100268,,,0.37282613,,0.65775569,,,,,,0.01664680,0.74432732
GSM2334151,0,19,,,,0.89590572,,,0.39653446,,0.69568321,,,,,,0.02407314,0.69235805
GSM2334152,1,15,,,,0.83325472,,,0.36767813,,0.66092768,,,,,,0.01643442,0.68869674
GSM2334153,1,15,,,,0.82687856,,,0.39880901,,0.66842247,,,,,,0.02473535,0.75689220
GSM2334154,0,43,,,,0.78662786,,,0.38643592,,0.54744799,,,,,,0.06742674,0.71371405
GSM2334155,0,38,,,,0.86227844,,,0.37500833,,0.59639321,,,,,,0.05475932,0.68918754
GSM2334156,1,17,,,,0.89023875,,,0.35417723,,0.70166806,,,,,,0.01881551,0.74129400
GSM2334157,0,23,,,,0.86001342,,,0.37563649,,0.64898453,,,,,,0.02071492,0.68223922
GSM2334158,1,22,,,,0.85128721,,,0.37601945,,0.66577420,,,,,,0.03358055,0.73841343
GSM2334159,0,46,,,,0.77968299,,,0.38230332,,0.61896230,,,,,,0.02619237,0.73862854
GSM2334160,0,24,,,,0.69363472,,,0.41290988,,0.58268069,,,,,,0.04915193,0.68774229
GSM2334161,1,71,,,,0.85757939,,,0.37141353,,0.60125235,,,,,,0.11924932,0.71712311
GSM2334162,1,66,,,,0.77203298,,,0.42535590,,0.57066217,,,,,,0.23063119,0.75347618
GSM2334163,0,77,,,,0.83084952,,,0.43894052,,0.60716575,,,,,,0.22093952,0.75960018
GSM2334164,0,70,,,,0.78820434,,,0.39744442,,0.58736586,,,,,,0.21985159,0.74293795
GSM2334165,1,45,,,,0.83190390,,,0.39552120,,0.60060694,,,,,,0.12629976,0.73229636
GSM2334166,0,65,,,,0.74158237,,,0.36590507,,0.54320805,,,,,,0.28277394,0.73644909
GSM2334167,1,19,,,,0.85423544,,,0.34179926,,0.67503043,,,,,,0.03071392,0.73002721
GSM2334168,0,45,,,,0.80436565,,,0.38536891,,0.62161251,,,,,,0.06512980,0.72814015
GSM2334169,1,41,,,,0.78393064,,,0.36540814,,0.58454640,,,,,,0.18405861,0.74811484
GSM2334170,0,67,,,,0.72594438,,,0.42008897,,0.56000023,,,,,,0.19429731,0.73361249
GSM2334171,0,48,,,,0.86611290,,,0.38293582,,0.63998011,,,,,,0.13316138,0.74188786
GSM2334172,1,49,,,,0.72198697,,,0.43060998,,0.55501274,,,,,,0.15269340,0.77344898
