sample,sex,age,cg27099280,cg02935847,cg11164348,cg12670525,cg21801378,cg16778903,cg25311807,cg15193953,cg07483413,cg09616463,cg15628888,cg02687928,cg20809087,cg01928245,cg06534553,cg16477190,cg16460359,cg01373151,cg03621881,cg11766298,cg03943826,cg10786045
GSM2333911,1,86,,,,0.92645579,0.12164327,0.06745386,0.96589264,0.97342923,0.97446062,0.01801904,,,0.24961225,,0.61451565,0.02737579,0.01618642,0.10836646,0.04158191,,0.09272754,
GSM2333912,1,18,,,,0.94267987,0.04281127,0.05961020,0.95543076,0.96362221,0.97141579,0.01830344,,,0.06243865,,0.67093923,0.03273188,0.01646508,0.11223272,0.02837045,,0.08665447,
GSM2333913,0,65,,,,0.93530203,0.09092951,0.05952089,0.95097746,0.97510622,0.97557252,0.01904783,,,0.09710140,,0.64668084,0.03974463,0.01806458,0.10784305,0.04419368,,0.09805065,
GSM2333914,0,55,,,,0.90496251,0.11508931,0.08337297,0.92541516,0.97789868,0.96672788,0.02192777,,,0.12924351,,0.61309091,0.04483885,0.01745180,0.14352711,0.04830823,,0.11157236,
GSM2333915,1,65,,,,0.92050404,0.09466246,0.06383723,0.95234346,0.98546109,0.97286569,0.02053733,,,0.09235110,,0.64810027,0.03954710,0.01803729,0.13338594,0.04038980,,0.08002292,
GSM2333916,0,59,,,,0.93440675,0.10686153,0.05701829,0.95553009,0.97183691,0.97605268,0.01719103,,,0.09450337,,0.60951058,0.03826953,0.01712307,0.10275992,0.03822604,,0.08443022,
GSM2333917,1,80,,,,0.89890334,0.08625093,0.06845840,0.96136260,0.98645752,0.97494979,0.01866640,,,0.14241819,,0.61901449,0.03670008,0.01578272,0.12994868,0.03367250,,0.10155799,
GSM2333918,0,60,,,,0.91029342,0.12110981,0.08040241,0.94658271,0.97966625,0.97120104,0.01974482,,,0.13438514,,0.67091337,0.03633766,0.01677371,0.14634623,0.03218594,,0.11054928,
GSM2333919,1,55,,,,0.93843113,0.08693490,0.07480971,0.95092771,0.98036850,0.97172591,0.01987412,,,0.08727532,,0.66682981,0.03651361,0.01546515,0.13543624,0.04275832,,0.08719550,
GSM2333920,0,63,,,,0.93353995,0.08233260,0.07097003,0.94894136,0.97142612,0.97067207,0.01898078,,,0.21618506,,0.61789816,0.03497632,0.01742019,0.10827030,0.04167545,,0.10731341,
GSM2333921,0,29,,,,0.93977466,0.04680188,0.07151649,0.94052368,0.97710627,0.97267841,0.01751658,,,0.08926924,,0.68456701,0.04030166,0.01755603,0.13480641,0.03576210,,0.08471950,
GSM2333922,1,68,,,,0.90579621,0.09553859,0.06316151,0.94593945,0.98743791,0.97308498,0.02019071,,,0.12865466,,0.63889724,0.03856437,0.01359564,0.11683162,0.03924850,,0.07361692,
GSM2333923,0,22,,,,0.92332079,0.04668165,0.05980237,0.94464741,0.96803703,0.96275422,0.02239603,,,0.06218325,,0.60317788,0.04083634,0.01858685,0.11848423,0.05216305,,0.07472997,
GSM2333924,1,16,,,,0.94117023,0.02941925,0.06290129,0.96546120,0.96776805,0.97804492,0.02019637,,,0.05251688,,0.63737558,0.03417855,0.01584114,0.13427137,0.03347200,,0.09597143,
GSM2333925,1,75,,,,0.90116829,0.09948001,0.08035121,0.92909954,0.98132674,0.96744558,0.01938146,,,0.13638959,,0.61035853,0.03896944,0.02023416,0.14104730,0.05378554,,0.08736314,
GSM2333926,0,16,,,,0.93306626,0.02838909,0.06837555,0.94983296,0.98045901,0.96947619,0.01763973,,,0.06676529,,0.62266532,0.03206861,0.01415118,0.12433218,0.03643453,,0.08170594,
GSM2333927,1,74,,,,0.90773006,0.09908724,0.06705229,0.89202747,0.97599249,0.96811585,0.02180012,,,0.14552495,,0.64264097,0.03778876,0.02059204,0.08085303,0.05144684,,0.09672490,
GSM2333928,1,63,,,,0.89545024,0.14020346,0.05999746,0.92068237,0.97006983,0.97719784,0.01822754,,,0.25887768,,0.64840906,0.04197409,0.01704403,0.12799529,0.04325405,,0.09291472,
GSM2333929,1,38,,,,0.91553777,0.04287393,0.06293444,0.93101876,0.97566403,0.96414210,0.01906847,,,0.04797577,,0.63203413,0.03565974,0.02023723,0.09980169,0.04612459,,0.08921461,
GSM2333930,1,64,,,,0.93744058,0.07543925,0.05435542,0.94667881,0.97932940,0.96972746,0.01582258,,,0.10791878,,0.61582228,0.02814258,0.01448545,0.11273884,0.03741903,,0.08381767,
GSM2333931,1,68,,,,0.88762910,0.12233571,0.06748561,0.93615356,0.98653914,0.96867558,0.01724449,,,0.16464300,,0.64464573,0.02623743,0.01317355,0.12547643,0.03534058,,0.08334768,
GSM2333932,1,45,,,,0.94650572,0.04639956,0.05960039,0.95210975,0.98036195,0.96756424,0.01994922,,,0.07207713,,0.64037441,0.03830531,0.01635135,0.11623343,0.04818758,,0.08604200,
GSM2333933,0,80,,,,0.90000809,0.21176091,0.09734564,0.83439218,0.96491467,0.97240234,0.01864926,,,0.28232820,,0.53807958,0.03488189,0.01720197,0.13801224,0.04107427,,0.11244686,
GSM2333934,1,46,,,,0.92718410,0.03369376,0.06163656,0.93284039,0.96215948,0.95620608,0.01709750,,,0.11421481,,0.63268021,0.03164584,0.01656462,0.14123917,0.02665465,,0.09848334,
GSM2333935,0,82,,,,0.89958741,0.09333789,0.08079029,0.95646900,0.98729754,0.96594472,0.01606883,,,0.14300961,,0.56909725,0.03845246,0.01647058,0.10025261,0.05179001,,0.07825321,
GSM2333936,1,58,,,,0.91559451,0.08811332,0.05140247,0.93868943,0.95948457,0.96679172,0.01887037,,,0.09271982,,0.62134398,0.02914729,0.01875716,0.09889430,0.02864642,,0.08383259,
GSM2333937,1,69,,,,0.91307308,0.11961258,0.07089530,0.93671135,0.98216062,0.97715021,0.02026282,,,0.16099365,,0.57015770,0.03491611,0.01581213,0.15391744,0.03808027,,0.07834925,
GSM2333938,1,23,,,,0.94173852,0.02593024,0.06299011,0.95838640,0.97327972,0.97022381,0.01662165,,,0.06459617,,0.61494519,0.03120549,0.01684113,0.13592521,0.03133115,,0.06015149,
GSM2333939,1,59,,,,0.88217085,0.06566027,0.06456841,0.94110498,0.96970453,0.96920495,0.02023028,,,0.08894020,,0.61955497,0.03566607,0.01590413,0.08625197,0.02722516,,0.10444944,
GSM2333940,0,79,,,,0.92343746,0.15207785,0.09644339,0.92799224,0.97946685,0.96898716,0.01692601,,,0.20683536,,0.59486959,0.02914364,0.01442261,0.11921965,0.03742545,,0.10012918,
GSM2333941,0,66,,,,0.92208005,0.10566645,0.06204749,0.95096116,0.98404647,0.97347666,0.01824707,,,0.10197495,,0.68327913,0.03347030,0.01589824,0.13878570,0.03962457,,0.09196068,
GSM2333942,1,71,,,,0.91933216,0.10823050,0.07472070,0.92858084,0.98061623,0.96173435,0.01832090,,,0.18286179,,0.64077791,0.04368676,0.01575375,0.13258972,0.06330853,,0.08185608,
GSM2333943,1,55,,,,0.94113342,0.06748134,0.05013915,0.95643093,0.97340750,0.95924921,0.01698415,,,0.12982240,,0.65723705,0.03188921,0.01568452,0.09480252,0.03201185,,0.08584596,
GSM2333944,0,62,,,,0.90343636,0.12044007,0.06317807,0.89291661,0.97912726,0.96653345,0.01855317,,,0.18621348,,0.60923666,0.03914471,0.01765992,0.11577578,0.05738046,,0.08999341,
GSM2333945,1,57,,,,0.90934182,0.04376484,0.06133080,0.91812400,0.96484483,0.97054887,0.02140124,,,0.10205893,,0.59101672,0.04443481,0.01933997,0.07410570,0.04000451,,0.10024339,
GSM2333946,1,50,,,,0.90934482,0.10609602,0.06501383,0.94141952,0.96802048,0.97263528,0.01948136,,,0.08169193,,0.64695671,0.03532020,0.01884183,0.10428696,0.03327051,,0.09205601,
GSM2333947,0,48,,,,0.91334022,0.04639143,0.05972772,0.95663985,0.98770585,0.97255831,0.01496236,,,0.03791729,,0.63790223,0.04084842,0.01295740,0.11225391,0.04566056,,0.08681574,
GSM2333948,0,39,,,,0.94414631,0.02844174,0.06797101,0.95810485,0.97924175,0.97876969,0.01453786,,,0.07423861,,0.65911745,0.03170663,0.01293539,0.11209931,0.04119410,,0.07108327,
GSM2333949,1,81,,,,0.91664167,0.11348126,0.05282416,0.88135272,0.97634514,0.96089092,0.02257022,,,0.15199329,,0.60611096,0.04250245,0.02078062,0.08928849,0.07047416,,0.08374684,
GSM2333950,0,81,,,,0.89163781,0.22694362,0.08117818,0.93682118,0.97917866,0.96946952,0.02396995,,,0.32880824,,0.61069660,0.03245369,0.01830501,0.09948956,0.03762100,,0.10973068,
GSM2333951,1,91,,,,0.89403818,0.09930952,0.06412140,0.93142553,0.95702994,0.95590131,0.02009852,,,0.12725578,,0.60012941,0.04688210,0.01568393,0.08631844,0.06632368,,0.08861472,
GSM2333952,1,15,,,,0.94290351,0.02952107,0.06536422,0.94780335,0.97190084,0.96989677,0.01705663,,,0.05532932,,0.66353530,0.03098692,0.01447713,0.11975137,0.02876672,,0.07149410,
GSM2333953,1,57,,,,0.91379453,0.06454717,0.06538382,0.94180648,0.98179084,0.96476071,0.01922736,,,0.07480559,,0.62773621,0.03897355,0.01844687,0.11255510,0.06547182,,0.08567977,
GSM2333954,1,45,,,,0.91809046,0.03923097,0.06350771,0.95841492,0.98401259,0.97257756,0.01701155,,,0.07707629,,0.63526375,0.03853574,0.01423173,0.11863198,0.03079308,,0.08081779,
GSM2333955,0,45,,,,0.92526440,0.04114708,0.06076691,0.94564254,0.98473565,0.97227665,0.02060339,,,0.06297826,,0.64997082,0.03875835,0.01791305,0.12816424,0.05409644,,0.08614918,
GSM2333956,0,28,,,,0.94083965,0.04609690,0.06674751,0.94831198,0.98144662,0.97373581,0.01750265,,,0.06882816,,0.63829049,0.05229018,0.01524581,0.11999785,0.03949338,,0.09666490,
GSM2333957,1,37,,,,0.92628351,0.04146490,0.06810808,0.94453283,0.98193766,0.97854352,0.01645569,,,0.06138094,,0.66104526,0.03736453,0.01588303,0.12346051,0.04872350,,0.08559406,
GSM2333958,0,69,,,,0.91653090,0.09065795,0.07335680,0.94171430,0.98393222,0.97505970,0.02420661,,,0.17975693,,0.61247023,0.04358298,0.01759145,0.08668961,0.03287310,,0.12250497,
GSM2333959,0,25,,,,0.94327116,0.04241571,0.05374541,0.94471385,0.97308455,0.97451885,0.01722919,,,0.07150912,,0.65293845,0.03446080,0.01589677,0.11671903,0.06575294,,0.07897129,
GSM2333960,1,66,,,,0.92228691,0.14088421,0.06120152,0.95257323,0.98056685,0.97529648,0.01577346,,,0.16092415,,0.65193635,0.03013919,0.01432393,0.11570120,0.02487483,,0.06983273,
GSM2333961,1,22,,,,0.92057176,0.05263199,0.06698008,0.94010467,0.97947163,0.97588412,0.01881487,,,0.05416608,,0.62392083,0.03099859,0.01412925,0.10729532,0.02932559,,0.09451657,
GSM2333962,0,23,,,,0.93255708,0.04629461,0.06331860,0.94336510,0.98439034,0.97840839,0.01528216,,,0.08213200,,0.59945700,0.03153028,0.01322522,0.11770261,0.04262446,,0.07557149,
GSM2333963,0,17,,,,0.91288625,0.05088072,0.06306221,0.94641799,0.97559762,0.96960228,0.01883661,,,0.07754596,,0.62062005,0.03716323,0.01365558,0.12221143,0.03334574,,0.10337936,
GSM2333964,0,17,,,,0.93750887,0.02760700,0.07163362,0.95664743,0.96738087,0.97391850,0.01745119,,,0.03950044,,0.61639426,0.02794640,0.01547308,0.11477136,0.02740943,,0.08790384,
GSM2333965,0,21,,,,0.93649600,0.03396705,0.06044842,0.93721756,0.96522421,0.97248854,0.02081848,,,0.03720161,,0.62909091,0.04053134,0.01407402,0.14262203,0.03718414,,0.08958978,
GSM2333966,0,82,,,,0.92160763,0.08836686,0.07251679,0.93451364,0.98283646,0.98167980,0.01721285,,,0.06407792,,0.59364395,0.04974190,0.01649620,0.08560430,0.07103273,,0.08607950,
GSM2333967,1,62,,,,0.89161568,0.06445341,0.06350887,0.92572110,0.97272980,0.97233894,0.02212749,,,0.12559798,,0.60480609,0.03811090,0.01626863,0.11044590,0.04316198,,0.08930439,
GSM2333968,0,68,,,,0.92520670,0.24139483,0.06433004,0.93255564,0.97966403,0.95641233,0.01592019,,,0.17885148,,0.58899621,0.03717893,0.01508005,0.10223283,0.02500398,,0.07380800,
GSM2333969,0,45,,,,0.90775111,0.06311337,0.07257033,0.95210110,0.97368142,0.97398781,0.01758579,,,0.08798802,,0.65946068,0.03302367,0.01588136,0.09757568,0.03274954,,0.09285992,
GSM2333970,0,42,,,,0.92595685,0.05822333,0.07319481,0.94127596,0.97501011,0.97357350,0.01836965,,,0.15396904,,0.61914518,0.04015770,0.01545191,0.13639155,0.03630536,,0.07802583,
GSM2333971,0,68,,,,0.93267996,0.12234415,0.05875562,0.95345999,0.96625325,0.96212473,0.02061185,,,0.11823454,,0.62549208,0.03752712,0.01899627,0.08929910,0.04029779,,0.08931325,
GSM2333972,1,40,,,,0.91174619,0.07164120,0.07115727,0.95432542,0.97079160,0.96638983,0.02076812,,,0.08895265,,0.60891708,0.03812356,0.01823685,0.09473379,0.02953733,,0.07833485,
GSM2333973,0,44,,,,0.91871315,0.06674477,0.05701050,0.93209626,0.98214852,0.98315207,0.02286546,,,0.05928173,,0.60256248,0.06887082,0.01830991,0.13447631,0.11960629,,0.09658323,
GSM2333974,1,22,,,,0.95083428,0.03001067,0.05774850,0.94071764,0.97681910,0.97677434,0.01847550,,,0.07185320,,0.60933824,0.03826465,0.01761949,0.12644207,0.03330202,,0.08204368,
GSM2333975,0,23,,,,0.90014698,0.02997975,0.06852147,0.96164749,0.98315591,0.98299087,0.01368400,,,0.03686827,,0.68313250,0.02920062,0.01289958,0.11803734,0.03704209,,0.07547074,
GSM2333976,1,25,,,,0.92722249,0.05156217,0.07404964,0.94814977,0.96555755,0.96697466,0.02023461,,,0.04991321,,0.61416314,0.03620614,0.01738327,0.13417505,0.03450677,,0.11375864,
GSM2333977,1,45,,,,0.91557353,0.06722178,0.07393400,0.94605463,0.97855498,0.97572339,0.01775267,,,0.09105000,,0.61951828,0.03669932,0.01576640,0.11929338,0.05666710,,0.09887697,
GSM2333978,0,40,,,,0.93054171,0.06566776,0.06368885,0.95364872,0.97788989,0.97177740,0.01701576,,,0.06836905,,0.66123168,0.03351336,0.01508241,0.09883591,0.03095525,,0.09102128,
GSM2333979,1,81,,,,0.93158221,0.11499930,0.06341133,0.92426211,0.97505512,0.97219249,0.02415025,,,0.28895439,,0.63177021,0.03928908,0.02057720,0.09738090,0.03335192,,0.09755368,
GSM2333980,1,32,,,,0.91009366,0.04670880,0.08171507,0.95563009,0.97632874,0.97596193,0.01899584,,,0.05218150,,0.61693133,0.03248587,0.01726719,0.11242804,0.04543862,,0.09307856,
GSM2333981,1,28,,,,0.92859677,0.03927716,0.06355064,0.94474189,0.96845821,0.97562695,0.01970072,,,0.05051702,,0.63158424,0.03975882,0.01713505,0.11456725,0.04089369,,0.09933787,
GSM2333982,1,19,,,,0.92496819,0.02792463,0.06767122,0.95323695,0.98419915,0.97110025,0.01746136,,,0.04952543,,0.65112584,0.03601661,0.01477921,0.13800726,0.02783893,,0.08552772,
GSM2333983,1,16,,,,0.92326549,0.02697379,0.06417914,0.95480105,0.98102213,0.97452302,0.01650583,,,0.05384165,,0.61764023,0.03080951,0.01573581,0.12427266,0.04690709,,0.04530257,
GSM2333984,1,18,,,,0.92654403,0.03343629,0.07058396,0.93982452,0.98091499,0.97386319,0.01437684,,,0.05060338,,0.62521233,0.03405158,0.01340610,0.11807873,0.02781550,,0.07876615,
GSM2333985,0,19,,,,0.93037462,0.02765349,0.06915817,0.95014402,0.97656735,0.97952596,0.01921737,,,0.05517488,,0.62936965,0.03217155,0.01477497,0.13011012,0.02941468,,0.09191525,
GSM2333986,1,18,,,,0.93688119,0.02733298,0.08670645,0.93451682,0.97506755,0.97043866,0.01809390,,,0.06714906,,0.63787394,0.03934534,0.01694802,0.12285506,0.04000693,,0.08282679,
GSM2333987,0,18,,,,0.91034041,0.02902366,0.06588893,0.95463540,0.97790548,0.96910669,0.01882041,,,0.03510647,,0.64722416,0.03532650,0.01647519,0.10436948,0.03649968,,0.09580653,
GSM2333988,1,18,,,,0.93284660,0.02478942,0.06686955,0.94029184,0.98008001,0.96707565,0.02207686,,,0.05717304,,0.64649867,0.03454836,0.01669124,0.12186244,0.03493797,,0.08501554,
GSM2333989,0,18,,,,0.91421831,0.02959294,0.07650397,0.94614531,0.98132315,0.98285881,0.01512922,,,0.06063702,,0.63966644,0.03248162,0.01752653,0.12767547,0.02646348,,0.07549049,
GSM2333990,1,17,,,,0.89776721,0.03311605,0.07393820,0.93344844,0.97984383,0.97360682,0.02030317,,,0.06174429,,0.60883748,0.03492707,0.01571434,0.13101628,0.03395926,,0.10618151,
GSM2333991,1,82,,,,0.88119009,0.18138309,0.06786992,0.92662681,0.98142416,0.97523764,0.01694249,,,0.37004136,,0.61067278,0.03351390,0.01845557,0.09693842,0.04250415,,0.09910645,
GSM2333992,1,35,,,,0.91348097,0.05706621,0.06680693,0.93767037,0.98374385,0.96820861,0.01576095,,,0.09407661,,0.63771803,0.03452808,0.01466737,0.12999512,0.04020349,,0.09615374,
GSM2333993,1,39,,,,0.91696165,0.04111379,0.08019305,0.94555061,0.97547022,0.96991722,0.01661184,,,0.04948261,,0.57030243,0.03355311,0.01702337,0.10047086,0.04267815,,0.09440345,
GSM2333994,1,49,,,,0.93248308,0.06033763,0.06023720,0.95348126,0.97842356,0.97817773,0.01724344,,,0.11843086,,0.68869681,0.03507915,0.01463769,0.10368858,0.03120453,,0.07470339,
GSM2333995,0,45,,,,0.91900902,0.06927153,0.06770477,0.93661282,0.98141884,0.97437691,0.02062519,,,0.05742831,,0.67409907,0.04320662,0.01864915,0.13930383,0.04259075,,0.09850030,
GSM2333996,1,42,,,,0.94385040,0.04694918,0.08388566,0.93137514,0.98315762,0.97487553,0.02016760,,,0.07390063,,0.65898203,0.03413168,0.01523131,0.11135181,0.03288647,,0.06898258,
GSM2333997,0,18,,,,0.92870385,0.02782543,0.06950020,0.93857209,0.97917300,0.97290497,0.01735509,,,0.04221968,,0.64347247,0.03017346,0.01768343,0.13978848,0.03759843,,0.10166011,
GSM2333998,1,32,,,,0.93558111,0.03105227,0.06482083,0.93526998,0.97919332,0.97324096,0.01788139,,,0.07526631,,0.64010279,0.03216454,0.01539106,0.10746256,0.03945845,,0.09527084,
GSM2333999,0,18,,,,0.89913612,0.04487865,0.07114491,0.95602583,0.97683368,0.96320929,0.01884995,,,0.06724143,,0.65929853,0.04077791,0.01906169,0.13595081,0.05779316,,0.09796090,
GSM2334000,1,40,,,,0.91899906,0.03793141,0.08520959,0.95370421,0.97288643,0.97630340,0.01634340,,,0.10261205,,0.65089701,0.03538705,0.01769890,0.14997554,0.03568206,,0.10428199,
GSM2334001,1,43,,,,0.91208347,0.04879347,0.08102116,0.94463484,0.97674167,0.97509710,0.01864432,,,0.08251801,,0.66086154,0.03973833,0.01723365,0.13080674,0.02841156,,0.08832199,
GSM2334002,1,44,,,,0.92574339,0.07416757,0.06910099,0.93191107,0.98048480,0.97099163,0.01665018,,,0.11104021,,0.63454982,0.04270289,0.01548088,0.11233074,0.03801156,,0.08597801,
GSM2334003,0,46,,,,0.90094650,0.05923719,0.07323603,0.93985972,0.98023263,0.97382658,0.01681308,,,0.08122143,,0.61906102,0.02795618,0.01510388,0.12225986,0.02410858,,0.09299546,
GSM2334004,1,79,,,,0.91442842,0.13270712,0.06469548,0.94556322,0.98138628,0.97617263,0.02834282,,,0.14406110,,0.63671874,0.07837499,0.01599370,0.08469723,0.10210889,,0.08082876,
GSM2334005,0,71,,,,0.90956514,0.08081750,0.07588763,0.94514205,0.98687535,0.97416709,0.02094781,,,0.12616684,,0.66915412,0.04982861,0.01761213,0.07668910,0.09124538,,0.09828859,
GSM2334007,1,68,,,,0.92314991,0.12060094,0.06048990,0.93638171,0.97878509,0.96951092,0.01891533,,,0.10619239,,0.63412839,0.03276354,0.01602436,0.11996032,0.04198594,,0.10510702,
GSM2334008,0,41,,,,0.89840873,0.04331412,0.07109798,0.94265167,0.95051310,0.96083482,0.02057200,,,0.06265181,,0.63618933,0.03708340,0.01904156,0.11351785,0.03459604,,0.10110552,
GSM2334009,1,62,,,,0.93227042,0.05693239,0.04909983,0.96652010,0.98627346,0.98384473,0.01595616,,,0.10030408,,0.63715274,0.03758453,0.01033667,0.10907254,0.02565992,,0.05726168,
GSM2334010,1,47,,,,0.91723354,0.07980110,0.06615119,0.95463023,0.98582625,0.97599116,0.01803658,,,0.10947479,,0.61381553,0.03808388,0.01636766,0.12471243,0.03136684,,0.07203670,
GSM2334012,0,51,,,,0.92112600,0.11322370,0.06414147,0.94209282,0.98571083,0.96685185,0.01884822,,,0.21737685,,0.65719608,0.03183939,0.01483991,0.14743559,0.02087481,,0.08163230,
GSM2334013,0,53,,,,0.90409586,0.08568749,0.06942760,0.91202002,0.97233811,0.97157035,0.02003629,,,0.08881023,,0.61094337,0.05237164,0.01918508,0.11295637,0.06661343,,0.09400023,
GSM2334014,0,79,,,,0.90345531,0.13408577,0.06821236,0.92824930,0.98040720,0.97460501,0.02132692,,,0.14249967,,0.64394465,0.03698077,0.01730371,0.08283689,0.04343101,,0.09964910,
GSM2334016,1,68,,,,0.93016428,0.09025889,0.06032105,0.94242771,0.98618362,0.97928602,0.02141544,,,0.09555579,,0.64587602,0.04090059,0.01847203,0.10468639,0.05676964,,0.08009720,
GSM2334017,0,50,,,,0.90526081,0.09005401,0.06463018,0.94248291,0.97804783,0.97062579,0.02106721,,,0.06625911,,0.61325945,0.04271265,0.01735838,0.11457193,0.05782795,,0.07693458,
GSM2334021,1,55,,,,0.90228405,0.07782862,0.06865923,0.94440997,0.97478281,0.97577926,0.01735826,,,0.11718759,,0.64081635,0.03484714,0.01460857,0.12790748,0.03589850,,0.06702096,
GSM2334022,1,22,,,,0.93489282,0.04379343,0.07336129,0.95954439,0.97995891,0.97698599,0.01961963,,,0.04508664,,0.61654659,0.03814703,0.01890806,0.12388913,0.05665258,,0.09487989,
GSM2334023,0,27,,,,0.92553943,0.03448631,0.06099259,0.95470379,0.97649783,0.96828947,0.01665590,,,0.05550011,,0.62345367,0.03610862,0.01577543,0.11210890,0.03077579,,0.09542159,
GSM2334024,1,15,,,,0.93505803,0.02882305,0.05666543,0.96935185,0.97353351,0.97637101,0.01753880,,,0.04443835,,0.66214238,0.03710557,0.01204554,0.09856806,0.03777479,,0.05880785,
GSM2334025,1,26,,,,0.92363470,0.05046625,0.05558441,0.93485032,0.97600796,0.97457230,0.02092168,,,0.05134228,,0.66216315,0.03870590,0.01570453,0.12165177,0.05388502,,0.08462554,
GSM2334026,0,47,,,,0.90021830,0.06064093,0.05219473,0.94462915,0.98621469,0.98191104,0.01759346,,,0.07445804,,0.67242709,0.05149939,0.01217739,0.13101747,0.04859946,,0.06460087,
GSM2334027,1,43,,,,0.91187807,0.06464306,0.06415224,0.94510289,0.98216648,0.97967678,0.02014889,,,0.05974202,,0.64843945,0.04050935,0.01592360,0.12915687,0.03158256,,0.09475564,
GSM2334028,1,49,,,,0.92202789,0.04037661,0.07638053,0.95987723,0.97365031,0.96455572,0.02231654,,,0.05472136,,0.59797848,0.04137649,0.01697329,0.11395453,0.06353155,,0.07748373,
GSM2334029,1,61,,,,0.90147537,0.07382244,0.07065300,0.94647893,0.97921386,0.96971988,0.01978459,,,0.09141638,,0.62362041,0.05176686,0.01875075,0.10351427,0.13196522,,0.10748488,
GSM2334030,0,80,,,,0.93079547,0.05149798,0.08317331,0.91653020,0.98359821,0.96095492,0.01996307,,,0.10261992,,0.57917517,0.03985067,0.01758907,0.09707154,0.06846323,,0.11525355,
GSM2334032,1,74,,,,0.87939945,0.11732832,0.06933783,0.92620725,0.97922187,0.95627123,0.02091630,,,0.09603141,,0.61059006,0.03463784,0.01672330,0.09776026,0.08391876,,0.09037957,
GSM2334033,1,64,,,,0.94067403,0.08340537,0.07664220,0.95605465,0.97751407,0.97466269,0.01795667,,,0.09174295,,0.63205537,0.03225378,0.01416894,0.13443862,0.02517968,,0.09413305,
GSM2334034,1,31,,,,0.93581361,0.03961808,0.07419093,0.92986136,0.96763205,0.97330827,0.01744768,,,0.06372581,,0.65333166,0.03005771,0.01347583,0.11895234,0.03543536,,0.09469009,
GSM2334035,0,17,,,,0.92795837,0.03538496,0.06714877,0.96043721,0.97773847,0.96700455,0.01914571,,,0.04265666,,0.63806098,0.04028728,0.01733219,0.12521857,0.07328135,,0.10223339,
GSM2334036,0,33,,,,0.92467191,0.11480023,0.08740430,0.91200358,0.97308943,0.97146916,0.02233808,,,0.08983392,,0.64367214,0.04396452,0.01998813,0.13763458,0.11496270,,0.11192083,
GSM2334037,0,76,,,,0.90520738,0.06146999,0.07793344,0.93145461,0.96990546,0.97255798,0.02046423,,,0.06633408,,0.61565533,0.04290274,0.01742357,0.10670398,0.08320582,,0.09562205,
GSM2334038,0,48,,,,0.91808438,0.12865940,0.07757342,0.91861623,0.97425366,0.97199471,0.02236912,,,0.10688962,,0.59543164,0.05134683,0.01971696,0.10499396,0.11770442,,0.07764481,
GSM2334039,0,20,,,,0.92831665,0.03418342,0.07107825,0.92824163,0.97968274,0.97201150,0.01996948,,,0.05807850,,0.61655854,0.04043714,0.01746761,0.12023929,0.09215276,,0.09562689,
GSM2334040,0,67,,,,0.91869758,0.15270328,0.05137813,0.93415021,0.96252658,0.96735401,0.01983982,,,0.18593001,,0.65515206,0.04139811,0.01604943,0.14047764,0.03028143,,0.08657163,
