"","age","cg03816707","cg24283270","cg06193004","cg09797971","cg07589968","cg09028204","cg25353142","cg05203217","cg27634724","cg19702785","cg22866937","cg06288351"
"GSM989845",92,0.3178048,0.8909466,0.1576284,0.9180517,0.3625529,0.09828841,0.1936212,0.8265158,0.1433683,0.2602194,0.6543077,0.285294
"GSM989846",60,0.2227927,0.8849375,0.166583,0.9219396,0.405397,0.09596796,0.2162656,0.8627716,0.1443846,0.1949254,0.7203733,0.3256682
"GSM989847",79,0.3166685,0.8964567,0.1919107,0.9270902,0.434011,0.1837644,0.2208367,0.8515527,0.2435734,0.2341799,0.7101509,0.3433819
"GSM989848",68,0.07050484,0.892302,0.1725728,0.9178677,0.3931758,0.07129676,0.1966323,0.7971295,0.1472209,0.2046829,0.7318566,0.2827535
"GSM989849",93,0.259205,0.9159182,0.1857381,0.9078369,0.3831342,0.2026848,0.2356952,0.798564,0.1789174,0.3192194,0.7036204,0.293877
"GSM989850",84,0.06122172,0.885199,0.1151508,0.9525343,0.3205906,0.03108439,0.1437663,0.8368551,0.1021037,0.2066875,0.6768578,0.2437046
"GSM989851",74,0.2070026,0.897968,0.1823169,0.9390046,0.4375018,0.1304589,0.2345869,0.8456931,0.1736484,0.2295725,0.7373304,0.3336944
"GSM989852",74,0.2831991,0.888858,0.1918583,0.9318112,0.3896652,0.1588968,0.2447401,0.8444217,0.1975323,0.252686,0.7345327,0.3138974
"GSM989853",76,0.1870004,0.8890336,0.20036,0.9324321,0.412747,0.1607304,0.2506504,0.8552719,0.1889869,0.2319791,0.7358227,0.3184943
"GSM989854",56,0.09443073,0.8903196,0.1473977,0.8950588,0.3664692,0.09427293,0.1948645,0.795055,0.1563649,0.2007733,0.6175201,0.2818646
"GSM989855",72,0.08373952,0.9132953,0.1581077,0.9336187,0.4036849,0.07509276,0.1848548,0.8859752,0.1250784,0.1996271,0.7700122,0.3248465
"GSM989856",75,0.1436845,0.9032107,0.1590376,0.9268536,0.4307511,0.08886366,0.1916243,0.8219476,0.1610493,0.2174362,0.698648,0.3065448
"GSM989857",79,0.1415591,0.9082751,0.1951523,0.9310927,0.3953603,0.1988775,0.1914473,0.8375548,0.1712869,0.2277034,0.7119248,0.2848914
"GSM989858",73,0.09988416,0.9113941,0.1150232,0.938334,0.266945,0.04150573,0.1502016,0.6943325,0.0981956,0.3212936,0.5456654,0.1934519
"GSM989859",82,0.2476619,0.8986118,0.1953708,0.9359755,0.4252873,0.1374225,0.2396755,0.8638162,0.180682,0.2486365,0.7420272,0.3221224
"GSM989860",74,0.1048192,0.9062037,0.1643917,0.946519,0.3824399,0.06523332,0.1969852,0.8648471,0.1143771,0.2411352,0.7447576,0.2962792
"GSM989861",79,0.05617892,0.9190948,0.1181168,0.9225718,0.2900688,0.03783171,0.1633676,0.8105753,0.1222235,0.1991822,0.6938066,0.2233918
"GSM989862",54,0.09847777,0.9074124,0.1830374,0.9189975,0.4128418,0.05032266,0.2026855,0.8834413,0.129485,0.1912412,0.762067,0.3102609
"GSM989863",101,0.1181277,0.8806478,0.1362901,0.9333414,0.3268009,0.05371951,0.1645032,0.7850993,0.1278525,0.2365718,0.6799241,0.2558312
"GSM989864",79,0.2213313,0.8961885,0.164141,0.9146621,0.3889876,0.1005305,0.2112374,0.8497527,0.1549259,0.2687277,0.6868655,0.2950277
"GSM989865",84,0.2349415,0.8939934,0.2154203,0.9117068,0.4025811,0.1614155,0.235839,0.856588,0.1982596,0.2545423,0.7234943,0.3101092
"GSM989866",85,0.1174153,0.9109191,0.1989951,0.9422784,0.4234378,0.1161951,0.2398559,0.8799227,0.193601,0.2426595,0.7577115,0.3230706
"GSM989867",87,0.2384982,0.9058108,0.17523,0.9337519,0.3952591,0.07666637,0.1958438,0.8694834,0.1345813,0.2401857,0.6274151,0.2902675
"GSM989868",74,0.1426808,0.906611,0.1753537,0.9273861,0.3856073,0.1216017,0.2199191,0.8406245,0.1661209,0.2418046,0.7200526,0.3170311
"GSM989869",77,0.1979498,0.8958179,0.1684277,0.8827199,0.4032886,0.0745918,0.1974319,0.8442004,0.1413283,0.209013,0.6574652,0.3103748
"GSM989870",73,0.0862025,0.898021,0.1132943,0.9336948,0.3318393,0.02544445,0.1189114,0.8170893,0.07448968,0.2452709,0.7120144,0.2472307
"GSM989871",87,0.1831411,0.9025012,0.1746434,0.9211137,0.4065095,0.1425002,0.2144435,0.8671948,0.1489854,0.2481734,0.6746173,0.308026
"GSM989872",85,0.2182951,0.9297471,0.1722468,0.9601156,0.3908349,0.1381131,0.1937926,0.8651261,0.1532455,0.2430633,0.7474455,0.286874
"GSM989873",88,0.2257612,0.8970678,0.1889715,0.9443116,0.4041366,0.1532647,0.227395,0.810784,0.1770701,0.2440208,0.6949707,0.2875706
"GSM989874",66,0.1791613,0.9147887,0.1976046,0.9316261,0.4189408,0.09909169,0.215847,0.8502781,0.1636257,0.212851,0.7390365,0.3272998
"GSM989875",78,0.2229778,0.8983613,0.1737156,0.9372754,0.3820196,0.2588668,0.2347908,0.8439934,0.186512,0.2316033,0.7145712,0.3096589
"GSM989876",53,0.3008686,0.8865641,0.2454837,0.9121166,0.4690878,0.230432,0.3062832,0.8860843,0.255253,0.2449644,0.6057364,0.3797821
"GSM989877",76,0.2462931,0.9170308,0.1808321,0.9139009,0.4209757,0.03815604,0.1776942,0.8497059,0.1257139,0.228813,0.6919334,0.310052
"GSM989878",67,0.2237036,0.9194238,0.2097796,0.9389935,0.4268523,0.09993295,0.257304,0.893807,0.16541,0.2583272,0.7728909,0.3378738
"GSM989879",73,0.1923678,0.9122583,0.1546883,0.9233887,0.3962063,0.07520214,0.2250156,0.8796151,0.198592,0.2565903,0.6970092,0.3134288
"GSM989880",54,0.1707641,0.8854122,0.1661408,0.91831,0.3980303,0.07063027,0.2077783,0.8515689,0.1480242,0.2152682,0.6825347,0.2992955
"GSM989881",73,0.1596626,0.9273493,0.2117586,0.9384245,0.4377723,0.1380433,0.2412141,0.8702137,0.1774701,0.2394063,0.6657682,0.3393852
"GSM989882",96,0.2575858,0.917082,0.2157044,0.9222996,0.4073709,0.2368053,0.2392881,0.821111,0.2206248,0.2800246,0.6170135,0.3164952
"GSM989883",57,0.1739654,0.906408,0.1735259,0.944284,0.4226961,0.05831821,0.2109239,0.8682325,0.1570859,0.249967,0.7122207,0.3081627
"GSM989884",76,0.2057438,0.9065496,0.1664899,0.9089731,0.3980959,0.1312191,0.215966,0.8555478,0.1712883,0.2317286,0.6383749,0.3012224
"GSM989885",47,0.1339792,0.9039598,0.1596237,0.9355049,0.393958,0.03804192,0.1725495,0.8485391,0.1351701,0.1696873,0.7276904,0.3028251
"GSM989886",54,0.2071894,0.8899012,0.2183431,0.9181249,0.4250714,0.1401797,0.237244,0.8684773,0.1875402,0.2047428,0.6607791,0.326417
"GSM989887",73,0.1961446,0.8944358,0.2089858,0.918151,0.428222,0.3018096,0.2873133,0.843155,0.2153417,0.2109817,0.7208993,0.3216845
"GSM989888",84,0.1778611,0.9097306,0.1894961,0.9228989,0.4358534,0.1869252,0.2551669,0.8645076,0.1932504,0.2398877,0.720302,0.3369703
"GSM989889",62,0.06390572,0.917746,0.2040475,0.9268621,0.5193438,0.09951615,0.2716357,0.9751744,0.2011238,0.2391557,0.7907348,0.3896286
"GSM989890",89,0.04762654,0.8996384,0.1100217,0.9276112,0.3218218,0.02749931,0.1314738,0.8035325,0.1015351,0.1646337,0.7036082,0.2533356
"GSM989891",68,0.1513047,0.9003791,0.1775631,0.9284388,0.3555309,0.1275326,0.2239791,0.812593,0.1672265,0.2272042,0.6778989,0.2806922
"GSM989892",62,0.2806455,0.8892801,0.2187748,0.9586683,0.4402348,0.1783542,0.2804638,0.8810009,0.2206042,0.2305422,0.7445014,0.3552499
"GSM989893",79,0.1838093,0.8934278,0.1680159,0.9401744,0.4164508,0.1252805,0.2070123,0.8647906,0.1600376,0.2203085,0.6726604,0.3178312
"GSM989894",72,0.09332712,0.8898811,0.1776379,0.9173344,0.4182295,0.1070332,0.2456621,0.8462912,0.1695354,0.1880326,0.7374395,0.3058772
"GSM989895",69,0.2431898,0.8957138,0.1599322,0.9473456,0.3747007,0.09814429,0.2041363,0.8310235,0.1360968,0.2107804,0.7272644,0.2773736
"GSM989896",55,0.1810789,0.9426921,0.2507323,0.9535332,0.5109462,0.1563408,0.3160112,0.9227335,0.2467636,0.2267869,0.7614709,0.3727251
"GSM989897",73,0.2611758,0.9060736,0.1844059,0.9372136,0.3775769,0.1268199,0.2339866,0.850441,0.1853866,0.2076421,0.7042679,0.2956731
"GSM989898",79,0.1749097,0.8799552,0.1708972,0.905658,0.398975,0.1106944,0.2273681,0.845686,0.1490071,0.2324824,0.6449228,0.3195607
"GSM989899",72,0.1278869,0.91155,0.1647672,0.9309646,0.4274268,0.08252781,0.2060971,0.8894035,0.1451538,0.1980022,0.728067,0.3312256
"GSM989900",89,0.2493128,0.8969744,0.1275888,0.9119938,0.3552161,0.03126488,0.1367721,0.8323941,0.0987672,0.2452163,0.7292739,0.2637534
"GSM989901",79,0.08854333,0.911959,0.1326766,0.9046791,0.3144283,0.02376938,0.1451895,0.8178623,0.08817299,0.1660881,0.5695443,0.2390069
"GSM989902",85,0.1799009,0.8989524,0.1670218,0.9214342,0.3728346,0.07129457,0.1863303,0.8200512,0.1487393,0.1769884,0.6958494,0.3106932
"GSM989903",68,0.1581736,0.8992842,0.1574047,0.9387344,0.3771904,0.06352039,0.2132749,0.8442743,0.145006,0.1945392,0.7202656,0.277176
"GSM989904",89,0.2058743,0.9021482,0.1531026,0.9277373,0.3353141,0.1142487,0.2034653,0.7697791,0.1588043,0.2551541,0.6929866,0.2483677
"GSM989905",73,0.158853,0.8985288,0.1837867,0.9309685,0.4093691,0.1023227,0.2196505,0.8320104,0.1507601,0.2474506,0.5991583,0.2962784
"GSM989906",63,0.1829279,0.8978911,0.1959012,0.9367812,0.4278399,0.08414119,0.2141805,0.8922135,0.1474648,0.1900307,0.7411157,0.3119548
"GSM989907",78,0.1273326,0.9035408,0.1611815,0.9425165,0.413531,0.09681961,0.2146842,0.8422097,0.160296,0.2011413,0.7225662,0.2934184
"GSM989908",65,0.1426224,0.9179459,0.177392,0.9264638,0.4202133,0.1220087,0.2224617,0.858521,0.1746718,0.2021075,0.7200288,0.3195581
"GSM989909",65,0.1958572,0.916329,0.157275,0.9378113,0.3898825,0.08422918,0.1838093,0.8681874,0.1354004,0.2337993,0.6525725,0.2971228
"GSM989910",89,0.201507,0.9146287,0.1589436,0.9331445,0.372007,0.05847945,0.1542237,0.8438455,0.1091435,0.229853,0.7259399,0.2737383
"GSM989911",85,0.2173619,0.9139552,0.1833429,0.9306904,0.4076409,0.1123145,0.2156542,0.8594143,0.1629479,0.2059442,0.6717196,0.294268
"GSM989912",66,0.1617973,0.917386,0.188632,0.9526899,0.4279369,0.1660998,0.2608655,0.8544847,0.2093127,0.1811211,0.7300174,0.31398
"GSM989913",76,0.2656461,0.8954557,0.1766895,0.9311145,0.428216,0.1818414,0.2388619,0.8340061,0.1879416,0.2537209,0.6544118,0.3329019
"GSM989914",74,0.1801541,0.9087264,0.1737686,0.9336188,0.4021275,0.1192139,0.2147107,0.8640193,0.1781603,0.2107518,0.7331486,0.3060554
"GSM989915",84,0.1420568,0.9107334,0.1366303,0.9554532,0.3947338,0.06341587,0.1962655,0.8528593,0.1267517,0.23041,0.7351544,0.3095448
"GSM989916",71,0.1977853,0.9063856,0.1836157,0.8902808,0.4091947,0.1001214,0.2314997,0.8310522,0.1724287,0.248058,0.6555023,0.3162906
"GSM989917",49,0.2222846,0.9164077,0.214432,0.9394075,0.4558404,0.1026425,0.2406599,0.886353,0.1983241,0.2259492,0.7457318,0.351797
"GSM989918",69,0.1644827,0.9082311,0.183317,0.9171425,0.396716,0.1131745,0.2296379,0.8534091,0.1673567,0.2102811,0.7063702,0.3089407
"GSM989919",63,0.1480483,0.8999644,0.1420242,0.9500247,0.3935776,0.03132157,0.1588236,0.8953242,0.1101732,0.19834999,0.7723715,0.3077965
"GSM989920",66,0.1775432,0.9320908,0.1510022,0.9511772,0.3809651,0.1105643,0.1833229,0.8461455,0.1925135,0.2194807,0.7284225,0.289956
"GSM989921",85,0.2435298,0.9239842,0.1853599,0.9214768,0.443422,0.1541517,0.2203594,0.8949425,0.1847412,0.1969685,0.587406,0.3123515
"GSM989922",76,0.1741742,0.9112164,0.1979058,0.9659214,0.4261692,0.1091965,0.2169873,0.859941,0.174251,0.1984239,0.7479259,0.3323503
"GSM989923",84,0.4027694,0.9248812,0.14483,0.9636014,0.3249595,0.06279122,0.2349999,0.7520014,0.1335848,0.1742216,0.7348184,0.2776275
"GSM989924",59,0.1676106,0.906028,0.1888378,0.9424278,0.4062465,0.09103408,0.1957451,0.8834732,0.1518662,0.1675239,0.6604324,0.3178991
"GSM989925",70,0.1219489,0.9128078,0.1997751,0.9362096,0.4333417,0.152103,0.2728379,0.8623798,0.1918406,0.1997797,0.7713078,0.3537726
"GSM989926",65,0.1704353,0.9075957,0.1620951,0.9739159,0.392399,0.05832031,0.1776536,0.8679512,0.1307649,0.1939368,0.7456473,0.2921812
"GSM989927",68,0.2095249,0.919495,0.1823301,0.925874,0.4078823,0.1336383,0.2095998,0.8768232,0.1741728,0.2444948,0.7569849,0.3281584
"GSM989928",84,0.2471775,0.9134625,0.1388819,0.9387196,0.3607141,0.07154364,0.1773132,0.8266754,0.1154481,0.2265779,0.7292241,0.2588645
"GSM989929",75,0.2003435,0.910381,0.1340539,0.9664243,0.3023902,0.04289998,0.145548,0.8155006,0.1066025,0.2250663,0.7261299,0.2309846
"GSM989930",51,0.1263808,0.9324012,0.1682539,0.9340655,0.3966106,0.04864762,0.1800396,0.8913066,0.1202306,0.1685697,0.7523702,0.2937356
"GSM989931",63,0.1470327,0.921139,0.1603676,0.9346148,0.4033701,0.1179367,0.1956391,0.8569245,0.1542481,0.2225182,0.7441365,0.2865907
"GSM989932",69,0.2215599,0.8961593,0.1750818,0.9283071,0.3832271,0.1547946,0.2302403,0.8370026,0.2064454,0.2674682,0.7106953,0.2937615
"GSM989933",78,0.2553769,0.9205458,0.2288843,0.9322169,0.4361371,0.1859541,0.2652423,0.8356186,0.2029484,0.2594821,0.699824,0.3331245
"GSM989934",78,0.1522045,0.8940821,0.1351178,0.9108083,0.3262299,0.04663964,0.1350192,0.7960281,0.1314115,0.2039275,0.6222788,0.2469914
"GSM989935",52,0.1522723,0.90753,0.1289221,0.9677237,0.3890504,0.04017704,0.174492,0.8813024,0.1248318,0.1908616,0.7629154,0.3028367
"GSM989936",49,0.1993747,0.9082001,0.1781423,0.955395,0.4165943,0.0999498,0.2165652,0.887735,0.1630894,0.2116535,0.7867412,0.316279
"GSM989937",53,0.310379,0.9237058,0.1757526,0.9454491,0.4220682,0.1183258,0.1950545,0.8935274,0.1508161,0.2282114,0.6659731,0.3061244
"GSM989938",59,0.1744194,0.9044313,0.1747492,0.9416761,0.3970844,0.06123333,0.218702,0.8626751,0.1396636,0.196412,0.7448797,0.2958067
"GSM989939",62,0.2376769,0.9161575,0.1640347,0.9575621,0.4085434,0.1655978,0.2084811,0.8989999,0.165624,0.2093723,0.7435678,0.3282036
"GSM989940",46,0.10403,0.9090203,0.1937893,0.9173182,0.4299996,0.09297971,0.2317514,0.8386418,0.1938831,0.216985,0.7530884,0.3361151
"GSM989941",68,0.2418406,0.9190143,0.1863715,0.938737,0.4232382,0.1129058,0.2071782,0.8785658,0.1698101,0.2328275,0.7321684,0.3178431
"GSM989942",74,0.1354159,0.9055206,0.1438249,0.951384,0.3885717,0.09634464,0.1851685,0.8539536,0.1441326,0.2374913,0.7343743,0.2715518
"GSM989943",59,0.2198708,0.9228192,0.1968632,0.9364207,0.4741521,0.1157168,0.2499075,0.8940825,0.1865978,0.2026459,0.7039378,0.3634201
"GSM989944",76,0.198049,0.9094883,0.1672204,0.9499978,0.3919459,0.08995415,0.2023275,0.8672338,0.1601727,0.2555856,0.7230027,0.2983004
"GSM989945",54,0.1708481,0.9017495,0.2016486,0.8966514,0.4318158,0.1084515,0.2313882,0.8871287,0.1733596,0.2264046,0.6324453,0.352679
"GSM989946",59,0.30387,0.9017626,0.211129,0.9070923,0.426562,0.1071457,0.2338745,0.8776448,0.1725387,0.2029001,0.6603314,0.3444838
"GSM989947",48,0.2423503,0.9127882,0.1985506,0.92592374,0.4211419,0.1196552,0.2419298,0.8481751,0.1787453,0.2163044,0.7529536,0.3219518
"GSM989948",45,0.120256,0.891212,0.1641104,0.9460831,0.4029957,0.07381095,0.1829952,0.8727896,0.1460977,0.1648838,0.7755101,0.3076058
"GSM989949",62,0.1196374,0.9165441,0.1467692,0.8991458,0.3744382,0.0322449,0.1593569,0.8555894,0.1107519,0.2021862,0.7424477,0.2690946
"GSM989950",63,0.1518113,0.8867717,0.1618097,0.967836,0.3968532,0.09234628,0.1978414,0.8521265,0.1684609,0.2027468,0.7284946,0.3007067
"GSM989951",80,0.1914397,0.8757353,0.1577729,0.9412731,0.380349,0.08846425,0.1814658,0.852926,0.1433923,0.1995572,0.7495419,0.2974339
"GSM989952",60,0.2476644,0.9140902,0.1569613,0.9476969,0.3936334,0.05661755,0.1689964,0.8635015,0.1363897,0.2048135,0.7493746,0.295412
"GSM989953",71,0.1288564,0.8958362,0.1833113,0.9180342,0.4095723,0.1096676,0.2149733,0.8434425,0.1582766,0.2493996,0.6911902,0.3147126
"GSM989954",67,0.1265011,0.9299741,0.1277025,0.9752867,0.3809035,0.05339267,0.1742003,0.8475447,0.1232874,0.2604287,0.6770271,0.2659406
"GSM989955",50,0.1052055,0.8979267,0.1575587,0.924632,0.4194783,0.05342025,0.1845099,0.8671626,0.1325291,0.2105677,0.7560663,0.3202142
"GSM989956",86,0.2337793,0.9067492,0.1673774,0.9284893,0.3947207,0.1392102,0.1808833,0.8634487,0.1418068,0.2649279,0.7306455,0.2965433
"GSM989957",70,0.100864,0.8994118,0.146596,0.9370129,0.3717086,0.05776962,0.1818473,0.8550541,0.1297504,0.2017394,0.7054967,0.2822577
"GSM989958",54,0.1520621,0.8987789,0.159318,0.9508066,0.3997691,0.07179685,0.1907501,0.879609,0.1461128,0.192561,0.7532039,0.3160654
"GSM989959",69,0.2354296,0.8998923,0.2234166,0.926886,0.4715665,0.1385417,0.2450648,0.9079195,0.1988194,0.2500767,0.7577412,0.3532179
"GSM989960",76,0.1307506,0.9065054,0.1967568,0.9132582,0.4072758,0.1216166,0.2542232,0.825671,0.1699361,0.2117468,0.7151988,0.2975533
"GSM989961",58,0.1193289,0.9056268,0.1339747,0.9149894,0.3609782,0.0336599,0.1472462,0.852124,0.1126416,0.2081971,0.7240584,0.2521589
"GSM989962",58,0.1462166,0.9229032,0.1915051,0.9510159,0.4028128,0.09046218,0.1998792,0.8847633,0.1585581,0.2067112,0.7476707,0.336923
"GSM989963",64,0.2579385,0.9042861,0.1824635,0.9332106,0.4200916,0.09982734,0.2234889,0.8979667,0.1777109,0.195147,0.7649103,0.3287692
"GSM989964",73,0.1370883,0.8891378,0.1715972,0.9504805,0.3986309,0.06998071,0.1724003,0.8421784,0.1472073,0.2006769,0.7510203,0.300321
"GSM989965",49,0.1549444,0.90045,0.1712124,0.9556173,0.4312953,0.0773,0.1995711,0.8711866,0.1682824,0.1851068,0.7595583,0.3442228
"GSM989966",56,0.1037984,0.9052166,0.1700588,0.9273719,0.4132279,0.08615287,0.2136865,0.8793547,0.1626689,0.1791378,0.7568766,0.3150371
"GSM989967",75,0.173063,0.9077941,0.180065,0.912392,0.3728133,0.1425658,0.2311381,0.8533232,0.1674398,0.1892426,0.643425,0.2756934
"GSM989968",48,0.1552735,0.9085627,0.1928155,0.9104264,0.4379176,0.1094624,0.2465012,0.8823386,0.1798719,0.2099658,0.6670907,0.3482853
"GSM989969",81,0.2459001,0.9078014,0.1507165,0.9516102,0.3657233,0.06244303,0.1651567,0.8197133,0.14181,0.2213072,0.7385437,0.2789528
"GSM989970",72,0.2090108,0.9197281,0.1614284,0.9367709,0.4061887,0.08915271,0.1974697,0.8736539,0.1361903,0.2109779,0.7545192,0.3333179
"GSM989971",61,0.182665,0.9189074,0.1560748,0.9019217,0.3798964,0.06816524,0.17511,0.8622351,0.1214406,0.2124665,0.6431217,0.2775327
"GSM989972",50,0.2342795,0.8881602,0.184763,0.9013806,0.4170232,0.09223284,0.2195987,0.8831202,0.1586947,0.1874781,0.6650243,0.3101603
"GSM989973",69,0.1601316,0.9014181,0.2001124,0.9163586,0.4042115,0.08991215,0.2210739,0.8818238,0.1468845,0.1983023,0.7303016,0.3194261
"GSM989974",65,0.1076198,0.8974099,0.1624095,0.8970792,0.3832999,0.0540625,0.1850838,0.8801035,0.1306842,0.194547,0.6624862,0.3066958
"GSM989975",47,0.1957741,0.8968274,0.1858084,0.9459692,0.4132548,0.09290197,0.2086344,0.9069278,0.1491463,0.1718589,0.7578309,0.327254
"GSM989976",43,0.172445,0.9108029,0.1714613,0.9256389,0.4074353,0.09579069,0.194407,0.9036177,0.1306648,0.2000876,0.7580097,0.3109466
"GSM989977",55,0.1509555,0.91707,0.2029447,0.9534633,0.4264451,0.1110584,0.258737,0.897004,0.1954229,0.1969901,0.7536002,0.3366273
"GSM989978",54,0.1852488,0.9043778,0.2022993,0.9302796,0.4282995,0.1143171,0.2272662,0.8739443,0.1651238,0.2120814,0.7619934,0.3302004
"GSM989979",58,0.1450327,0.9112709,0.1762983,0.9274052,0.3961174,0.06916779,0.1865381,0.86185,0.1436715,0.1839958,0.7614354,0.3055545
"GSM989980",34,0.1411356,0.9220973,0.1597229,0.9250861,0.4025242,0.04680191,0.1793105,0.8583671,0.1283023,0.1622559,0.7680417,0.2924284
"GSM989981",65,0.119977,0.9232864,0.1591132,0.9539468,0.3941889,0.04849161,0.1882459,0.8856593,0.1359344,0.2157316,0.737383,0.3174047
"GSM989982",52,0.1315278,0.9096996,0.192047,0.9325216,0.3952581,0.04830665,0.1941665,0.8721741,0.1413936,0.1914656,0.7557536,0.3148172
"GSM989983",32,0.1841073,0.9197487,0.2188843,0.9307263,0.4528543,0.1204714,0.2471475,0.9007758,0.1892191,0.1852768,0.7620232,0.3625143
"GSM989984",47,0.1717933,0.9128407,0.1863682,0.952725,0.409364,0.1008632,0.2191998,0.8758938,0.1688217,0.188927,0.7488863,0.3202602
"GSM989985",54,0.2121354,0.9104943,0.2032962,0.9395362,0.458879,0.1828862,0.2327416,0.9020802,0.1984085,0.2780927,0.7088586,0.3368486
"GSM989986",63,0.2142435,0.893401,0.1668593,0.9271303,0.3905798,0.06435208,0.2115908,0.8816162,0.1405616,0.181897,0.6602968,0.3212525
"GSM989987",28,0.1831108,0.8911206,0.1723714,0.9157087,0.4290537,0.1212672,0.208171,0.8944204,0.1514903,0.1504697,0.654076,0.3370958
"GSM989988",54,0.1418032,0.9072208,0.1574342,0.9449409,0.372065,0.1327895,0.205932,0.8601496,0.1537087,0.2174341,0.6170446,0.2863872
"GSM989989",59,0.1732359,0.8884675,0.1810204,0.956252,0.3917838,0.1208133,0.2021471,0.8352833,0.144557,0.1949957,0.7293289,0.2971318
"GSM989990",56,0.09653866,0.9170079,0.1531536,0.9263515,0.3847885,0.05760446,0.1703278,0.8500342,0.1277836,0.2037849,0.6351926,0.291899
"GSM989991",50,0.1878988,0.9080737,0.2015907,0.9313943,0.419591,0.07360821,0.2045155,0.9011613,0.1592986,0.1977022,0.6749983,0.3369359
"GSM989992",30,0.1852134,0.8995644,0.2326333,0.9404278,0.4805056,0.1281989,0.2655818,0.9015785,0.207599,0.2018875,0.7678197,0.3662333
"GSM989993",50,0.2175548,0.9093575,0.1723921,0.934083,0.4142708,0.07969337,0.2209949,0.8929803,0.1490776,0.1761407,0.7548001,0.3134438
"GSM989994",47,0.1224145,0.9208918,0.1832486,0.9267211,0.4317037,0.05643822,0.2223717,0.8842769,0.1578599,0.1779537,0.7643659,0.3154342
"GSM989995",47,0.157176,0.9180214,0.2024614,0.9305555,0.4300778,0.09478188,0.2471518,0.8759286,0.180431,0.1767186,0.680378,0.3456374
"GSM989996",33,0.2438536,0.8867001,0.206254,0.9197849,0.4224581,0.05027172,0.2140743,0.9035044,0.1662935,0.1993457,0.6669965,0.3444625
"GSM989997",38,0.1375242,0.9021831,0.17374,0.9495949,0.4069249,0.0563826,0.1882736,0.8783218,0.1484981,0.1856455,0.7619258,0.3240806
"GSM989998",35,0.1622414,0.9052705,0.2211224,0.9447221,0.4220611,0.1172694,0.2527468,0.9052377,0.1833842,0.1803726,0.7475322,0.3604276
"GSM989999",47,0.1150737,0.90163,0.1852871,0.9369449,0.4240661,0.06492864,0.2041025,0.8906708,0.1471684,0.2078616,0.6949888,0.3340826
