"","age","cg00532451","cg00311303","cg12209313","cg22942751","cg20630560","cg27264894","cg21543434","cg22370694","cg03981727","cg00251125","cg26037170","cg04140596","cg21683105","cg18159850","cg04843660","cg01816880","cg25622855","cg17745433","cg23630430","cg07600278","cg02268584","cg19746567","cg00901843","cg07382039","cg01765600","cg09853570","cg13107669","cg18494421","cg07922933","cg20775370","cg27394460","cg14661383","cg18857768","cg15618533","cg22850968","cg26940100","cg10770726","cg08621574","cg02281446","cg18329175","cg18261877","cg08794084","cg17602777","cg26273958","cg01084386","cg25222493","cg03054277","cg04850211","cg06190406","cg19401519","cg18477163","cg04924099","cg07198402","cg06637001","cg08262088","cg04193160","cg09636459","cg05794117","cg05844789","cg19789505","cg05706189","cg11852843","cg21407117","cg09411356","cg23644589"
"GSM989837",82,0.9869153,0.8557547,0.9412301,0.8563659,0.6824048,0.8977386,0.8579534,0.2831786,0.9812855,0.366505,0.9862306,0.7841067,0.8438078,0,0.7806358,0.8054197,0.5890813,0.9252799,0.7890272,0.8114363,0.8537527,0.8926551,0.7580937,0.802917,0.6909658,0.9246691,0.7994785,0.8867422,0.7153131,0.8521734,0.7367502,0.053332,0.8826563,0.8943405,0.9792859,0.772705,0.880296,0.8179467,0.9862245,0.4820117,0.8488193,0.8230131,0.8292993,0.9725256,0.06587479,0.9290966,0.8599285,0.6048151,0.8943111,0.7841354,0.4006501,0.8272816,0.8206177,0.008009795,0.8727108,0.4444857,0.8057601,0.8232873,0.5565202,0.787901,0.9648553,0.7690032,0.7406552,0.7893665,0.9053203
"GSM989838",48,0.989116,0.8533065,0.9258101,0.8798873,0.6902633,0.8941553,0.8691611,0.318639,0.991703,0.4655754,0.9971804,0.7912239,0.8390679,0,0.7694002,0.8291517,0.6197904,0.950631,0.8065408,0.8728738,0.8945239,0.9021259,0.7878073,0.7587528,0.7022604,0.9299372,0.8367517,0.8818319,0.7351024,0.8532282,0.6728597,0.04051403,0.9015729,0.9045748,0.9881476,0.7175273,0.8846411,0.811792,0.9947501,0.5333808,0.9070396,0.843914,0.8306661,0.9830154,0.06804037,0.9378557,0.8431385,0.4337249,0.923382,0.7960868,0.4328541,0.8118358,0.7981764,0.01742535,0.8905666,0.4397295,0.8201233,0.8850698,0.4694597,0.7865406,0.958201,0.8166896,0.7594884,0.7238182,0.9318548
"GSM989839",77,0.9932864,0.8851701,0.9111037,0.8671224,0.6766818,0.8480123,0.8462396,0.3573649,0.9727397,0.4519619,0.99403928,0.7531537,0.8970163,0.001419399,0.7434474,0.7768242,0.5798846,0.9474729,0.8112704,0.8360926,0.8550941,0.9063432,0.7897016,0.7998103,0.6324527,0.9131419,0.7920727,0.8581684,0.6698535,0.8237507,0.7054247,0.0612826,0.8594928,0.9128427,0.9880199,0.8126176,0.8835143,0.8113242,0.9842393,0.4880595,0.858951,0.7976873,0.8305268,0.9816428,0.05720428,0.9210734,0.9001538,0.4434904,0.9164783,0.7616694,0.5870932,0.7871237,0.8411869,0.0443952,0.859472,0.5106192,0.7749109,0.8576726,0.4773129,0.7699817,0.959252,0.755971,0.7112578,0.7853991,0.9096043
"GSM989840",54,0.9848534,0.8716931,0.8922277,0.8558982,0.6796137,0.8532536,0.8500453,0.2941171,0.9899918,0.3632484,0.9945011,0.7516347,0.7452668,0.001458808,0.7609455,0.7466034,0.5678415,0.9556511,0.81792,0.7936496,0.8704883,0.9101543,0.7580729,0.7018586,0.6494688,0.9092681,0.8090877,0.8595467,0.7076308,0.8470051,0.6846833,0.05155019,0.8598062,0.8970762,0.9855413,0.7557889,0.8803071,0.770529,0.9892191,0.5282378,0.863106,0.7860219,0.814539,0.9798089,0.06360853,0.9147285,0.8511933,0.6925216,0.8855769,0.7493375,0.4096792,0.8048531,0.8275619,0.02045339,0.8680224,0.4497705,0.7649816,0.8367934,0.6056601,0.803569,0.9547517,0.7827733,0.6991733,0.7554308,0.924803
"GSM989841",63,0.9924452,0.8832784,0.9264227,0.8657517,0.7103597,0.8694247,0.826602,0.3625598,0.983925,0.4437675,0.993093,0.775924,0.8245307,0.001662994,0.7568104,0.8035341,0.5673531,0.9513247,0.8088272,0.8299973,0.872392,0.9195772,0.7410292,0.7866013,0.673447,0.9065076,0.8214305,0.8463248,0.782234,0.8566807,0.7453676,0.05207936,0.8653064,0.9117798,0.9886096,0.8180234,0.8844765,0.8165287,0.9881156,0.5333696,0.8602113,0.834198,0.7974465,0.9820578,0.0584605,0.9241717,0.8600081,0.4562478,0.9055458,0.768302,0.4052766,0.7941877,0.8431414,0.03240718,0.8561323,0.5090604,0.7845916,0.865665,0.4680264,0.8121492,0.9660679,0.8135172,0.7789577,0.8323649,0.9172146
"GSM989842",71,0.996749,0.875803,0.9039767,0.858624,0.695552,0.8769916,0.8297302,0.3225936,0.9820903,0.4653981,0.9906704,0.7779385,0.7761399,0.002178083,0.7726651,0.8116973,0.592903,0.9440616,0.8380519,0.8508645,0.8676845,0.9135996,0.7875363,0.7446101,0.6658702,0.921038,0.8014188,0.8692484,0.7557065,0.8682346,0.7163357,0.06047881,0.8714411,0.9223477,0.9885482,0.8267462,0.8674015,0.7957267,0.993591,0.5722275,0.8468947,0.8317238,0.816587,0.9810385,0.05268667,0.9255198,0.8665677,0.6124087,0.8906103,0.7879446,0.2370613,0.804875,0.8535611,0.01831383,0.8707048,0.4806477,0.7759758,0.8800601,0.5520991,0.8186314,0.971956,0.8073927,0.7732596,0.7887255,0.914679
"GSM989843",68,0.9958599,0.8841129,0.9012768,0.8523666,0.7072617,0.8784298,0.8349397,0.3405623,0.9829852,0.4540948,0.9953383,0.8022618,0.8316976,0,0.7591233,0.8172289,0.5741972,0.9608529,0.7977272,0.821572,0.8884357,0.910085,0.7699202,0.8350876,0.7032416,0.9208339,0.8044698,0.8673897,0.7531841,0.8867405,0.7312649,0.04767891,0.8700678,0.9152727,0.9904478,0.7902269,0.8764097,0.7800998,0.9959322,0.5040749,0.8706192,0.8264588,0.8303782,0.9861258,0.06296696,0.9069486,0.8530391,0.5531061,0.9026824,0.7768989,0.3835047,0.8254381,0.837146,0.01535801,0.85303,0.4540062,0.8037249,0.8390738,0.5309343,0.7629179,0.9722204,0.800239,0.7719821,0.7730039,0.9208832
"GSM989844",80,0.9910092,0.8796732,0.9247165,0.8785365,0.649861,0.8652683,0.8392883,0.28732,0.9950005,0.4139376,0.993722,0.796379,0.8867878,0,0.7690346,0.8378223,0.6109527,0.9543872,0.8204287,0.8306231,0.8937933,0.9181902,0.7853636,0.8084175,0.7023517,0.9332963,0.8005528,0.8894393,0.8037929,0.8567075,0.759359,0.04419482,0.8820221,0.9284059,0.9896744,0.7391397,0.8883759,0.8248954,0.9959968,0.5088903,0.8924544,0.8358196,0.8298278,0.9808541,0.0538875,0.9318913,0.9545068,0.7444639,0.9030448,0.7712499,0.1829162,0.8025899,0.8616177,0.02280129,0.8803471,0.5392909,0.7893381,0.8550114,0.6259153,0.8177472,0.9849151,0.8263725,0.7762049,0.7538366,0.9188575
"GSM989845",92,0.9887703,0.8693419,0.8948755,0.846382,0.6857912,0.8831186,0.8462512,0.3413722,0.9840289,0.4247822,0.992538,0.775618,0.8081545,0,0.7619683,0.8036309,0.5625536,0.9512677,0.8049375,0.8432571,0.8727692,0.8851715,0.7446999,0.7707617,0.6456408,0.9183448,0.8058948,0.879124,0.7500342,0.8405427,0.6594788,0.04069878,0.8722448,0.9035135,0.9816763,0.872959,0.883619,0.8242807,0.9878233,0.4629313,0.8419366,0.7993008,0.8196062,0.9878487,0.06250303,0.9202386,0.8640859,0.4326097,0.8964391,0.7666791,0.3971222,0.7712447,0.8157427,0.01023886,0.8722469,0.4614978,0.7774799,0.8024958,0.4609697,0.821174,0.9516639,0.7817479,0.7630249,0.7859996,0.9220937
"GSM989846",60,0.9881464,0.8658924,0.9045176,0.8322156,0.6729734,0.8661942,0.8378342,0.3460425,0.9943645,0.4654382,0.9890668,0.7719302,0.7897041,0,0.7530114,0.7973103,0.5634695,0.9550002,0.8060541,0.8327914,0.8694465,0.9348134,0.7866982,0.7372748,0.6882977,0.9292343,0.8105775,0.8544133,0.7621503,0.8473588,0.7385047,0.05316587,0.8661498,0.9097442,0.9774055,0.8125095,0.8738874,0.8112768,0.9954897,0.5170573,0.8609753,0.8284697,0.819478,0.9856431,0.05706199,0.8992701,0.8539789,0.5896369,0.9084578,0.7633646,0.4109662,0.8069171,0.8278033,0.01487339,0.8701246,0.4866456,0.7770451,0.8634046,0.5590455,0.7091504,0.9526839,0.7920629,0.7545272,0.7274929,0.9200264
"GSM989847",79,0.9849603,0.8433527,0.9009823,0.8411365,0.7163478,0.8656628,0.8349436,0.3773623,0.9839344,0.3815849,0.9930597,0.7840785,0.7525715,0.002111246,0.7538884,0.7796388,0.5744054,0.9394965,0.8028219,0.8105826,0.820181,0.8874748,0.7618764,0.7684152,0.5958381,0.9146813,0.7553285,0.8761376,0.6587819,0.7822579,0.6874121,0.055382,0.8724328,0.8875549,0.9748573,0.8059998,0.860139,0.7329258,0.9959437,0.5304195,0.8487166,0.7878074,0.7991788,0.9821379,0.06023006,0.9112322,0.8849042,0.5171469,0.8875861,0.7643852,0.4434227,0.8020036,0.7805039,0.0157542,0.8660421,0.4935524,0.7661814,0.8667325,0.4975129,0.7966822,0.9642776,0.7550502,0.6941761,0.8117231,0.9099919
"GSM989848",68,0.9865116,0.8631995,0.9133421,0.8654662,0.6126311,0.8671496,0.8405543,0.2231633,0.9845016,0.3929384,0.9910504,0.7780786,0.8150708,0,0.7228149,0.7864035,0.5869057,0.9409186,0.842034,0.8443966,0.8506206,0.9124052,0.7561536,0.7595355,0.6837772,0.9096982,0.8125115,0.8708876,0.7376288,0.843272,0.5663624,0.04958124,0.8554113,0.9015402,0.9724578,0.7159123,0.87453,0.828593,0.9916101,0.4757269,0.8515058,0.799742,0.8032058,0.9821559,0.04618092,0.922407,0.853173,0.5261229,0.8911978,0.757976,0.3769698,0.766106,0.804984,0.009016844,0.8819544,0.4135024,0.7812986,0.7984419,0.4842896,0.6228722,0.9579392,0.7980608,0.7453107,0.7619156,0.9093714
"GSM989849",93,0.9909833,0.871664,0.9103871,0.8523121,0.6908187,0.8730172,0.8308643,0.3174463,0.98101,0.3750236,0.9912347,0.7633041,0.7779673,0.002253609,0.7630882,0.786051,0.5739533,0.9567842,0.7973433,0.8137676,0.86033,0.8877444,0.7624243,0.7824497,0.6709695,0.9270357,0.7799078,0.8744273,0.706567,0.8459519,0.6736968,0.04862412,0.8667386,0.8993687,0.9790251,0.8196161,0.8907722,0.7870243,0.9901283,0.4393004,0.862864,0.8129476,0.8190345,0.9813568,0.06398886,0.9097584,0.7794782,0.4015233,0.8971037,0.7590873,0.6114352,0.8139626,0.76784,0.007478863,0.871732,0.462707,0.7760757,0.7956145,0.4508649,0.753327,0.9650331,0.7671903,0.70654,0.7537409,0.915302
"GSM989850",84,0.9899488,0.8623233,0.9228624,0.8570824,0.7206525,0.874882,0.8400538,0.2344952,0.9839976,0.3110502,0.9926963,0.7913715,0.6926766,0,0.7583755,0.8087761,0.4889865,0.9355149,0.8117454,0.8186111,0.8828336,0.9197642,0.7795793,0.7790814,0.68039,0.9259369,0.819515,0.8569118,0.7694042,0.8528607,0.8019469,0.05247805,0.8484811,0.8368213,0.9823846,0.921698,0.8940512,0.8092022,0.9934165,0.4454198,0.8524618,0.830773,0.825739,0.9837629,0.07161677,0.9079399,0.7393472,0.3737047,0.8947056,0.7605368,0.4162485,0.817564,0.7740417,0.01070836,0.8466743,0.383056,0.8134696,0.6984253,0.4384016,0.8210377,0.9244714,0.7968078,0.7481508,0.8551511,0.9139984
"GSM989851",74,0.9959779,0.859406,0.9097348,0.8481675,0.671181,0.8833532,0.8330726,0.3305371,0.9842684,0.4368499,0.9925466,0.7658879,0.8532195,0.004763489,0.7587172,0.7922242,0.5928136,0.9384192,0.8175029,0.8305779,0.89526,0.9048705,0.7676907,0.7911019,0.6622797,0.9139624,0.8085771,0.8756765,0.7151847,0.8585909,0.6886066,0.05093903,0.8726755,0.911157,0.9827246,0.7770167,0.8763518,0.7952899,0.9944538,0.5174397,0.8623815,0.8153682,0.8178349,0.9831932,0.06537232,0.9160731,0.8104693,0.5859658,0.8925928,0.7488732,0.4428359,0.8007551,0.8169973,0.01645966,0.8596234,0.4481158,0.8111352,0.8562667,0.5424209,0.795593,0.9600659,0.7922584,0.7260746,0.7125704,0.9069682
"GSM989852",74,0.990676,0.8853274,0.9036562,0.8514349,0.7327431,0.8702607,0.8492666,0.3251045,0.9839563,0.3935012,0.9901893,0.7936139,0.8043138,0.0002486306,0.7574109,0.7789907,0.5965185,0.9362707,0.7944942,0.836311,0.8580719,0.9130834,0.7654921,0.7847649,0.6420967,0.9154866,0.789223,0.8709193,0.6968616,0.8415294,0.7203173,0.04968067,0.8721659,0.8763222,0.9780739,0.8779321,0.8833565,0.7865344,0.9888414,0.5189174,0.8399051,0.8025783,0.8112944,0.976907,0.06680012,0.9191615,0.8520767,0.6500955,0.90172,0.7547516,0.2272026,0.8099157,0.8328815,0.01096979,0.8561763,0.452796,0.7654858,0.8453304,0.5931893,0.757573,0.9458973,0.7369128,0.7009425,0.8280057,0.9166112
"GSM989853",76,0.9912847,0.8618748,0.9128551,0.8404816,0.7114027,0.8704367,0.8512448,0.3747351,0.993918,0.4470178,0.9943774,0.7921996,0.8124837,0,0.7637403,0.7917248,0.5942944,0.9424044,0.7857752,0.8275869,0.8800768,0.8984692,0.7736853,0.7776352,0.6767541,0.9191469,0.7847793,0.8703758,0.7019277,0.8463141,0.7325445,0.05417182,0.8634013,0.899003,0.9822834,0.7810296,0.8692296,0.7986585,0.9956463,0.5325254,0.8698381,0.8222756,0.7966647,0.9839922,0.05768269,0.9161554,0.8711719,0.4419099,0.9054003,0.7540466,0.4116424,0.814325,0.8145296,0.01272371,0.8723549,0.509752,0.7897451,0.8440284,0.4617271,0.8030775,0.9762141,0.7763284,0.7395582,0.7761896,0.9233999
"GSM989854",56,0.985912,0.8847184,0.907597,0.8267432,0.6912515,0.8773919,0.8425951,0.2590023,0.9825828,0.3746524,0.9953667,0.7930614,0.8262009,0.007908995,0.7603377,0.7834276,0.5945175,0.9420246,0.7754436,0.8404877,0.876901,0.8523044,0.7755621,0.8038226,0.6660627,0.9293545,0.7988673,0.8649064,0.7257236,0.8475158,0.7248748,0.04655946,0.8642628,0.853563,0.9852932,0.6551902,0.879079,0.7896531,0.988507,0.4513659,0.8436543,0.8177094,0.8169451,0.970341,0.06249786,0.9210264,0.7599506,0.4446482,0.9158552,0.7535641,0.3241924,0.7870677,0.8151342,0.02350067,0.8552521,0.4719787,0.7887654,0.8289757,0.4673293,0.6193674,0.9522994,0.7789356,0.7329679,0.614098,0.910333
"GSM989855",72,0.9941191,0.8824319,0.9250187,0.8692194,0.6892783,0.8680066,0.8625778,0.3449313,0.9951697,0.4758433,0.994651,0.8112162,0.8321227,0.0004364543,0.7827922,0.8328781,0.6427134,0.9560158,0.8403817,0.8511016,0.8968647,0.9141014,0.7746196,0.7958865,0.7254366,0.9303653,0.8198265,0.8875997,0.7740062,0.8716062,0.7533259,0.03868017,0.8712514,0.9209248,0.9935214,0.8317082,0.884349,0.8323433,0.9961781,0.4934886,0.8727229,0.8421658,0.8311226,0.9799801,0.0678465,0.9320495,0.8985009,0.3414007,0.909217,0.798178,0.640018,0.8242819,0.8495221,0.04186856,0.8619019,0.4931138,0.8130652,0.8017009,0.4588698,0.8213228,0.9793239,0.8414341,0.7755641,0.7910771,0.9240693
"GSM989856",75,0.9890286,0.8364897,0.9295107,0.872914,0.659502,0.8726212,0.84424,0.3803468,0.9844168,0.434231,0.9930469,0.7532298,0.8444223,0,0.7578625,0.7967752,0.6065689,0.9493984,0.8092381,0.8081481,0.8723441,0.918467,0.7863911,0.7961581,0.6804572,0.9268888,0.7695928,0.8738706,0.6595846,0.834811,0.7008845,0.04321681,0.8733335,0.825873,0.972765,0.8947244,0.887496,0.8165573,0.9906675,0.5624016,0.8488604,0.8131041,0.8059613,0.9812303,0.05876419,0.9251518,0.730848,0.6201504,0.8919868,0.7743605,0.2243777,0.8169554,0.8352346,0.01356546,0.8650712,0.4431406,0.797303,0.8786719,0.5606083,0.8254035,0.9496444,0.7678374,0.7101136,0.7668622,0.9446293
"GSM989857",79,0.9931594,0.8641668,0.9201688,0.8658067,0.6245819,0.8783078,0.8476015,0.3028268,0.9833751,0.3641258,0.9878913,0.7816592,0.7911245,0,0.7533218,0.7989873,0.5940037,0.9341775,0.8165595,0.8319785,0.8882855,0.8987855,0.8003975,0.7804188,0.6543208,0.915733,0.8066427,0.870039,0.7221972,0.8664758,0.6091154,0.03093426,0.8523352,0.899537,0.9828634,0.7630471,0.8757355,0.7959644,0.9929894,0.4737252,0.85819,0.8131727,0.8077552,0.9719096,0.06374905,0.9100577,0.8227491,0.4326345,0.8960224,0.7627108,0.4676845,0.8165243,0.7851099,0.01469379,0.8536744,0.4561208,0.7963548,0.8077566,0.445983,0.7847477,0.956676,0.7612011,0.73669,0.7407943,0.915432
"GSM989858",73,0.9908154,0.8963867,0.913377,0.8561054,0.5841917,0.874152,0.8160508,0.265032,0.9837776,0.2525203,0.9958828,0.7960312,0.6952924,0.001298414,0.771522,0.817709,0.6110995,0.9229906,0.8122075,0.8426852,0.8547171,0.9205183,0.7801453,0.7715543,0.6721807,0.9055418,0.7914238,0.8750008,0.7452751,0.8537502,0.8159325,0.04020256,0.8589895,0.9029605,0.9798091,0.8945507,0.8630736,0.8016264,0.9915373,0.5228212,0.8879079,0.821463,0.8095502,0.9748067,0.0648969,0.9203031,0.977483,0.4890151,0.8951904,0.7491694,0.3308591,0.8125943,0.775495,0.01853374,0.8553026,0.4786839,0.7885202,0.8742121,0.5967342,0.8411386,0.9601253,0.8060764,0.7505323,0.702615,0.9269778
"GSM989859",82,0.995883,0.8649144,0.9237738,0.8665594,0.7163979,0.8904484,0.8316354,0.3620939,0.987662,0.4167436,0.996083,0.7885675,0.8173521,0.001488234,0.7531974,0.7970684,0.608928,0.9463623,0.7994578,0.8473814,0.8802712,0.9029875,0.7654949,0.7948186,0.6650349,0.9145641,0.7936137,0.8828894,0.7114005,0.8665149,0.6980886,0.04956931,0.8835055,0.9079763,0.9815496,0.7832392,0.8849563,0.7811823,0.9899017,0.5320089,0.8652505,0.8134055,0.8196489,0.9877382,0.07486681,0.9263512,0.9244279,0.5045545,0.8955195,0.7724107,0.4373274,0.8113394,0.8148159,0.01642707,0.875985,0.5906449,0.816623,0.8592322,0.5069793,0.768557,0.959411,0.7912381,0.7353306,0.7431738,0.9201059
